ï»¿dummy        {'LANG:FI', 'dummy'}
ask'            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', 'SPEC:D', 'PHI:NUM:_', 'ASP', 'SEM:internal', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'COMP:D', '-VAL', 'LF:ask', 'V', 'PF:ask', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
ask-            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', 'SPEC:D', 'PHI:NUM:_', 'ASP', 'SEM:internal', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'COMP:D', '-VAL', 'LF:ask', 'V', 'PF:ask', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
avain_0acc      ['LANG:FI']
avain_nom       ['LANG:FI']
avain           ['LANG:FI']
avaimen_acc     ['LANG:FI']
avaimen         ['LANG:FI']
avaimet         ['LANG:FI']
avainta         ['LANG:FI']
avain-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', '-SEM:directional', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', 'COMP:P', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'LF:key', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'PF:avain', '-COMP:ADV'}
auton           ['LANG:FI']
auto            ['LANG:FI']
auto-           {'-COMP:v', '-SPEC:FORCE', 'LF:car', 'N', '-COMP:N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', '-SEM:directional', 'PF:auto', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
city            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', 'PF:city', 'LANG:EN', '-COMP:T/fin', '-SPEC:T/fin', 'COMP:R/D', '-SPEC:ADV', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', 'LF:city', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
danno           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'LANG:IT', 'SPEC:A', '-COMP:WH', 'COMP:P', '-SPEC:R', '-SPEC:P', 'PF:danno', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'LF:damage', '-COMP:ADV'}
del             ['LANG:IT']
della           ['LANG:IT']
detesto         ['LANG:IT']
detest-         {'-COMP:v', '-SPEC:FORCE', 'LF:detest', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'PHI:GEN:_', '-COMP:T', '-SPEC:T/fin', 'SEM:external', 'PHI:NUM:_', 'ASP', 'PF:detest', 'SPEC:ADV', 'LANG:IT', 'ARG', 'SPEC:TO/inf', 'COMP:D', '-VAL', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
devono          ['LANG:FI']
deva-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'PHI:GEN:_', '-COMP:T', '-ASP', '-SPEC:T/fin', 'SPEC:D', 'PHI:NUM:_', 'PF:deva', 'COMP:ARE/inf', 'SEM:internal', 'SPEC:ADV', 'LANG:IT', 'ARG', 'SPEC:TO/inf', 'COMP:P', '-VAL', 'V', '-COMP:V', 'LF:must', 'PHI:PER:_'}
di              {'-SPEC:FORCE', '-SPEC:V', '-COMP:N', '-SPEC:C', '-COMP:T/fin', '-SPEC:ADV', 'PF:di', '-SPEC:T/fin', 'PHI:DET:_', 'SPEC:*', '-SPEC:Neg/fin', '!COMP:D', '-SPEC:C/fin', '-SPEC:N', 'PHI:NUM:_', '-SPEC:iWH', 'ARG', '-SPEC:iR', '-COMP:uWH', '-SPEC:P', 'P', 'PHI:PER:_', 'LANG:FI', '-VAL', '!COMP:*', '-SPEC:INF', '-adjoinable', '-SPEC:v', 'LF:of', '-COMP:ADV'}
does            {'-SPEC:FORCE', 'PF:does', '-SPEC:V', '!PROBE:V', 'PHI:GEN:F', 'LANG:EN', 'PHI:DET:_', 'COMP:Neg', '-SPEC:T/fin', 'PHI:GEN:_', 'SPEC:*', 'PHI:NUM:SG', '-SPEC:v', 'VAL', 'SPEC:D', 'COMP:v', '-SPEC:N', '-SPEC:C/fin', 'PHI:NUM:_', 'LF:does', '!SPEC:*', 'PHI:GEN:M', '!SPEC:D', 'T', 'ARG', 'SPEC:TO/inf', 'T/fin', 'PHI:PER:_', 'COMP:D', 'COMP:V', '!COMP:*', 'COMP:T/prt', 'FIN', 'PHI:PER:3'}
does_C          ['LANG:EN']
does-           {'-SPEC:FORCE', 'PF:does', '-SPEC:V', '!PROBE:V', 'PHI:GEN:F', 'LANG:EN', 'PHI:DET:_', 'COMP:Neg', '-SPEC:T/fin', 'PHI:GEN:_', 'SPEC:*', 'PHI:NUM:SG', '-SPEC:v', 'VAL', 'SPEC:D', 'COMP:v', '-SPEC:N', '-SPEC:C/fin', 'PHI:NUM:_', 'LF:does', '!SPEC:*', 'PHI:GEN:M', '!SPEC:D', 'T', 'ARG', 'SPEC:TO/inf', 'T/fin', 'PHI:PER:_', 'COMP:D', 'COMP:V', '!COMP:*', 'COMP:T/prt', 'FIN', 'PHI:PER:3'}
dorme           ['LANG:IT']
dorme-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'PF:dorme', 'PHI:NUM:_', 'LF:sleep', 'ASP', 'SPEC:ADV', '!SPEC:D', 'ARG', 'SPEC:TO/inf', 'LANG:FI', '-VAL', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
e               ['LANG:IT']
en              ['LANG:FI']
et              ['LANG:FI']
ei              ['LANG:FI']
emme            ['LANG:FI']
ette            ['LANG:FI']
eivat           ['LANG:FI']
ei'             {'NEG', 'PHI:DET:_', 'POL:NEG', '-SPEC:T/fin', 'SPEC:*', '!COMP:T', '%SPEC:INF', 'PF:ei', 'VAL', 'PHI:NUM:_', 'LF:neg', 'Neg/fin', '!SPEC:*', 'SEM:internal', 'ARG', '-SPEC:T', 'LANG:FI', '!COMP:*', 'COMP:T/prt', 'FIN', 'PHI:PER:_'}
e-              {'NEG', 'PHI:DET:_', 'POL:NEG', '-SPEC:T/fin', 'SPEC:*', '!COMP:T', '%SPEC:INF', 'PF:ei', 'VAL', 'PHI:NUM:_', 'LF:neg', 'Neg/fin', '!SPEC:*', 'SEM:internal', 'ARG', '-SPEC:T', 'LANG:FI', '!COMP:*', 'COMP:T/prt', 'FIN', 'PHI:PER:_'}
etsii           ['LANG:FI']
etsi-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', '!COMP:D', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'PF:etsi', 'ARG', 'SPEC:TO/inf', 'LANG:FI', 'COMP:D', '-VAL', 'V', 'LF:search', 'COMP:P', 'PHI:PER:_', '-COMP:V'}
etta            {'!PROBE:T/fin', 'LANG:FI', 'FORCE', 'COMP:C/fin', '-VAL', '-SPEC:*', '!COMP:*', 'LF:that', 'COMP:T/fin', 'PF:ettÃ¤', 'FIN', '-ARG'}
flow'           {'-COMP:v', '-SPEC:FORCE', 'LF:flow', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', 'SPEC:D', 'PHI:NUM:_', 'PF:flow', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', '-VAL', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
from            {'-SPEC:FORCE', '-SPEC:V', 'TAIL:V,+SEM:directional', '-COMP:N', '-SPEC:C', 'LANG:EN', '-COMP:T/fin', '-SPEC:T/fin', '-SPEC:ADV', 'PHI:DET:_', 'PHI:GEN:_', '-SPEC:*', '-SPEC:Neg/fin', 'adjoinable', '!COMP:D', '-SPEC:C/fin', '-SPEC:N', 'PHI:NUM:_', '-SPEC:iWH', 'ARG', '-SPEC:iR', '+SEM:directional', 'LF:from', '-COMP:uWH', '-SPEC:P', 'P', 'PF:from', '-VAL', '!COMP:*', '-SPEC:INF', '-SPEC:v', 'PHI:PER:_', '-COMP:ADV'}
gave            ['LANG:EN']
give-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', 'SPEC:D', 'PHI:NUM:_', 'ASP', 'PF:give', 'SPEC:ADV', '-COMP:FIN', 'ARG', 'SPEC:TO/inf', '+SEM:directional', 'PHI:PER:_', 'CLASS:DITR', '-VAL', '!COMP:*', 'V', '-COMP:V', '-COMP:P', 'COMP:P', 'LF:give'}
Giuseppe        ['LANG:IT']
Giuseppe-       {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', '-SEM:directional', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', '-SPEC:INF', 'LANG:IT', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', 'PF:Giuseppe', '-COMP:V', 'COMP:P', 'LF:Giuseppe', '-COMP:ADV'}
haluaa          ['LANG:FI']
halusi          ['LANG:FI']
halusimme       ['LANG:FI']
haluan          ['LANG:FI']
halua           ['LANG:FI']
haluamalla      ['LANG:FI']
haluttiin       ['LANG:FI']
haluttu         ['LANG:FI']
halua-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'ASP:BOUNDED', 'PF:haluaa', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', '-SPEC:*', 'PHI:NUM:_', 'COMP:A/inf', 'ASP', 'SEM:internal', 'LF:want', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'COMP:D', 'LANG:FI', '-VAL', 'CLASS:TR', 'V', '!COMP:*', '-COMP:V', '-COMP:P', 'COMP:P', 'PHI:PER:_'}
hairitsee       ['LANG:FI']
hairitse-       {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'LF:disturb', '!COMP:D', 'SPEC:D', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', '-COMP:FIN', 'ARG', 'SPEC:TO/inf', 'LANG:FI', '-VAL', 'PF:hairitsee', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
hanno           ['LANG:IT']
ho              ['LANG:IT']
ha-             {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'PHI:GEN:_', '-ASP', '-SPEC:T/fin', 'COMP:T', 'SPEC:D', 'PHI:NUM:_', 'SEM:internal', 'SPEC:ADV', 'LANG:IT', 'ARG', 'SPEC:TO/inf', 'LF:have', '-VAL', 'V', '-COMP:V', 'PF:ha', 'COMP:P', 'PHI:PER:_'}
havisivat       ['LANG:FI']
haviavan        ['LANG:FI']
havisi          ['LANG:FI']
havia-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', 'CLASS:INTR', 'PF:havia', '-SPEC:T/fin', 'SPEC:D', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', '-COMP:D', 'LANG:FI', '-VAL', 'LF:disappear', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
ihailen         ['LANG:FI']
ihailet         ['LANG:FI']
ihailee         ['LANG:FI']
ihailemme       ['LANG:FI']
ihailette       ['LANG:FI']
ihailevat       ['LANG:FI']
ihailevansa     ['LANG:FI']
ihailemassa     ['LANG:FI']
ihailtua        ['LANG:FI']
ihaile          ['LANG:FI']
ihaillut        ['LANG:FI']
ihailla         ['LANG:FI']
ihailemalla     ['LANG:FI']
ihaile-         {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'LF:admire', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', '!COMP:D', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', '-COMP:FIN', 'ARG', 'SPEC:TO/inf', 'PF:ihaile-', 'LANG:FI', '-VAL', 'CLASS:TR', 'V', '!COMP:*', '-COMP:V', '-COMP:P', 'COMP:P', 'PHI:PER:_'}
il              {'!PROBE:N', '-COMP:T/fin', '-SPEC:V', '-SPEC:C', '-SPEC:T/fin', '-SPEC:MA/lla', 'OP', '-SPEC:Neg/fin', '-SPEC:N', 'adjoinable', 'D', 'PF:il', '-ARG', 'LANG:IT', '-SPEC:P', '-SPEC:D', 'LF:the', '-COMP:D', '!COMP:*', 'COMP:N', '-COMP:uR', '-SPEC:INF'}
is              ['LANG:EN']
be-             {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'SPEC:D', 'ASP', '-ARG', 'SPEC:ADV', 'LF:be', 'SPEC:TO/inf', 'COPULA', 'PF:be', '-VAL', '!COMP:*', 'V', '-COMP:TO/inf', '-COMP:V', 'COMP:P'}
istuuko         ['LANG:FI']
istuu-          {'-COMP:v', '-SPEC:FORCE', 'PF:istuu', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', 'CLASS:INTR', '-SPEC:T/fin', 'SPEC:D', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', '-COMP:D', 'LANG:FI', '-VAL', 'V', 'LF:sit', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
John            ['LANG:EN']
John-           {'-COMP:v', '-SPEC:FORCE', 'PF:John', 'N', '-COMP:N', '-SPEC:V', 'LANG:EN', '-COMP:T/fin', '-SPEC:T/fin', 'COMP:R/D', '-SPEC:ADV', '-SEM:directional', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:ADV', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', 'LF:John', '-adjoinable', 'COMP:P', '-COMP:V'}
Jukka           ['LANG:FI', '-SEM:directional', 'LANG:FI']
Jukkaa          ['LANG:FI', '-SEM:directional']
Jukka-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', '-SEM:directional', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', 'LF:Jukka', 'PF:Jukka', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
juosten         ['LANG:FI']
juokse-         {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'PHI:NUM:_', 'LF:run', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'LANG:FI', '-VAL', 'PF:juokse-', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
istuu           ['LANG:FI']
istu-           {'-COMP:v', '-SPEC:FORCE', 'PF:istuu', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'LANG:FI', '-VAL', 'V', 'LF:sit', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
kaksi           {'COMP:n', 'ARG', 'PHI:DET:_', 'LF:two', 'TAIL:ARG,VAL,FIN', 'SPEC:*', 'PHI:NUM:SG', 'LANG:FI', '-VAL', 'COMP:N', 'PHI:NUM:_', 'NUM', 'PF:kaksi', 'PHI:PER:_'}
kaksi           {'COMP:n', 'LF:two', 'SPEC:*', 'TAIL:*POL:NEG', 'LANG:FI', 'COMP:N', 'NUM', 'PF:kaksi', 'TAIL:ARG,ASP:BOUNDED'}
kahdet          ['LANG:FI']
kahden          ['LANG:FI']
kaksi-          {'COMP:N', 'COMP:n', 'NUM', 'LF:two', 'PF:kaksi', 'SPEC:*', 'LANG:FI'}
kaupunkia       ['LANG:FI']
kaupunki        {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', '-SPEC:INF', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', 'LF:city', '-COMP:AUX', 'PF:kaupunki', '-COMP:V', '-COMP:P', '-COMP:ADV'}
kaski           ['LANG:FI']
kaskee          ['LANG:FI']
kaske-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'LF:order', 'SPEC:P', 'PF:kaske', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'SEM:external', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', '!COMP:A/inf', 'LANG:FI', '-VAL', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
kellon          ['LANG:FI']
kelloja         ['LANG:FI']
kello           ['LANG:FI']
kello-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', '-SPEC:INF', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'PF:kello', 'COMP:uR', '-COMP:AUX', 'LF:watch', '-COMP:V', 'COMP:P', '-COMP:ADV'}
kello0-         {'PF:kello', 'SPEC:D', '0', 'LF:watch', '2SPEC', 'LANG:FI'}
key             {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', 'LANG:EN', '-SPEC:ADV', 'PF:key', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LF:key', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
keta            ['LANG:FI']
keta            ['LANG:FI']
keta-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'LF:who', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', 'PF:keta', 'LANG:FI', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
kirjan          ['LANG:FI']
kirjaa          ['LANG:FI']
kirja-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', '-SEM:directional', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'PF:kirja', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'LF:book', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
kohti           {'-SPEC:FORCE', '-SPEC:V', '-COMP:N', '-SPEC:C', '-COMP:T/fin', '-SPEC:ADV', 'PHI:DET:_', '-SPEC:T/fin', 'SPEC:*', '-SPEC:Neg/fin', 'adjoinable', '!COMP:D', '-SPEC:C/fin', '-SPEC:N', 'PHI:NUM:_', '-SPEC:iWH', 'ARG', '-SPEC:iR', 'PF:kohti', '-COMP:uWH', '-SPEC:P', 'P', 'LANG:FI', '-VAL', '!COMP:*', 'TAIL:V', '-SPEC:INF', '-SPEC:v', 'LF:towards', 'PHI:PER:_', '-COMP:ADV'}
koko            {'!PROBE:N', '-COMP:T/fin', '-SPEC:V', '-SPEC:C', '-SPEC:T/fin', '-SPEC:MA/lla', 'OP', '-SPEC:Neg/fin', 'adjoinable', '-SPEC:N', 'D', 'LF:all', '-ARG', 'PF:koko', 'TAIL:T', '-SPEC:P', '-SPEC:D', '-COMP:D', 'LANG:FI', '!COMP:*', 'COMP:N', '-COMP:uR', '-SPEC:INF'}
kenen           ['LANG:FI']
kuka            ['LANG:FI']
kuka-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'LF:who', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'PF:kuka', 'COMP:uR', 'PHI', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
kuorsaa-        {'LF:snore', '-COMP:v', '-SPEC:FORCE', '-COMP:T/fin', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', '-COMP:WH', '-COMP:D', 'LANG:FI', '-VAL', 'PF:kuorsaa', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
kuorsaamalla    ['LANG:FI']
lahella         {'-SPEC:V', '-COMP:N', '-SPEC:C', '-SPEC:T/fin', '-COMP:FORCE', 'INF', 'VAL', '-SPEC:Neg/fin', 'adjoinable', 'PHI:NUM:_', '-SPEC:iWH', 'ARG', '-SPEC:iR', '-COMP:uWH', 'PF:lahella', 'P', '-SPEC:FORCE', '-COMP:T/fin', '-SPEC:ADV', 'PHI:DET:_', 'SPEC:*', 'LF:near', 'COMP:v', '!COMP:D', '-SPEC:C/fin', '-SPEC:N', '!SPEC:*', '-COMP:C/fin', '!SPEC:D', '-SPEC:P', 'LANG:FI', 'COMP:V', '!COMP:*', '-SPEC:INF', '-SPEC:v', 'PHI:PER:_', '-COMP:ADV'}
lahella         {'-SPEC:FORCE', '-SPEC:V', '-COMP:N', '-SPEC:C', '-COMP:T/fin', '-SPEC:ADV', 'PHI:DET:_', '-SPEC:T/fin', 'SPEC:*', 'LF:near', '!COMP:D', '-SPEC:Neg/fin', 'adjoinable', '-SPEC:C/fin', '-SPEC:N', 'PHI:NUM:_', '-SPEC:iWH', 'ARG', '-SPEC:iR', '-COMP:uWH', '-SPEC:P', 'PF:lahella', 'P', 'LANG:FI', '-VAL', '!COMP:*', '-SPEC:INF', '-SPEC:v', 'PHI:PER:_', '-COMP:ADV'}
lahtee          ['LANG:FI']
lahtea          ['LANG:FI']
lahtemaan       ['LANG:FI']
lahtevan        ['LANG:FI']
lahtevansa      ['LANG:FI']
lahtevani       ['LANG:FI']
lahtemassa      ['LANG:FI']
lahtematta      ['LANG:FI']
lahtemalla      ['LANG:FI']
lahtiessa       ['LANG:FI']
lahtiessaan     ['LANG:FI']
lahdettyaan     ['LANG:FI']
lahdettya       ['LANG:FI']
lahde           ['LANG:FI']
lahte-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', 'CLASS:INTR', 'COMP:PP', '-SPEC:T/fin', 'PF:lahtea', 'SPEC:D', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', '-COMP:D', 'LANG:FI', '-VAL', 'V', 'LF:leave', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
lavano          ['LANG:IT']
