@  {'author': 'Pauli Brattico', 'year': 2021, 'date': 'April', 'study_id': 1, 'study_folder': 'language data working directory/study-4_d-LHM/', 'lexicon_folder': 'language data working directory/lexicons', 'test_corpus_folder': 'language data working directory/study-4_d-LHM/', 'test_corpus_file': 'LHM_corpus.txt', 'only_first_solution': False, 'logging': True, 'ignore_ungrammatical_sentences': False, 'console_output': 'Full', 'datatake_resources': True, 'datatake_resource_sequence': False, 'datatake_timings': False, 'datatake_images': False, 'image_parameter_stop_after_each_image': False, 'image_parameter_show_words': True, 'image_parameter_nolabels': False, 'image_parameter_spellout': False, 'image_parameter_case': False, 'image_parameter_show_sentences': True, 'image_parameter_show_glosses': True, 'extra_ranking': True, 'filter': True, 'lexical_anticipation': True, 'closure': 'Bottom-up', 'working_memory': True, 'positive_spec_selection': 100, 'negative_spec_selection': -100, 'break_head_comp_relations': -100, 'negative_tail_test': -100, 'positive_head_comp_selection': 100, 'negative_head_comp_selection': -100, 'negative_semantics_match': -100, 'lf_legibility_condition': -100, 'negative_adverbial_test': -100, 'positive_adverbial_test': 100}
@  2021-04-14 20:48:17.578383
@  Test sentences from language data working directory\study-4_d-LHM\LHM_corpus.txt.
@  Logs into language data working directory\study-4_d-LHM\LHM_corpus_log.txt.
@  Lexicon from language data working directory\lexicons\lexicon.txt.
@  Redundancy rules from language data working directory\lexicons\redundancy_rules.txt.
@  Universal morphemes from language data working directory\lexicons\ug_morphemes.txt.
@ 
@ 
Number,Sentence,Study_ID,Group 0,Group 1,Total Time,Garden Paths,Memory Reactivation,Steps,Merge,Move Head,Move Phrase,A-Move Phrase,A-bar Move Phrase,Move Adjunct,Agree,Phi,Transfer,Item streamed into syntax,Feature Processing,Extraposition,Inflection,Failed Transfer,LF recovery,LF test,Filter solution,Rank solution,Lexical retrieval,Morphological decomposition,Mean time per word,Asymmetric Merge,Sink,External Tail Test,Execution time (ms)	
29,se sopimus ihailla Merjaa peruuntui ,1,1,0,3075,1,2,12,10,31,1,0,0,1,2,6,17,10,10,1,14,8,4,22,8,7,24,5,615,56,7,29,78
30,Merjaa ihailee Pekka ,1,1,0,1305,0,0,8,6,9,4,0,0,4,3,6,9,7,0,0,12,1,3,13,4,2,19,3,435,44,5,56,46
31,Merjaa ei ihaile Pekka ,1,1,0,1430,0,0,9,7,11,4,0,0,4,9,13,13,8,0,1,12,6,4,19,6,2,20,4,357,57,5,75,46
32,Merjaa on' ihaillut Pekka ,1,1,0,1675,0,0,14,8,17,4,0,0,4,10,14,13,9,0,0,13,8,4,20,6,5,22,4,418,90,9,102,62
33,Merjaa ei ollut ihaillut Pekka ,1,1,0,1780,0,0,10,8,13,4,0,0,4,18,23,17,9,0,1,14,13,5,26,9,3,23,5,356,72,5,94,78
34,Merjaa haluaa ihailla Pekka ,1,1,0,1680,0,0,11,9,21,4,0,0,4,5,10,12,10,4,0,12,5,5,17,8,4,22,4,420,77,7,89,62
35,Merjaa kaskee poikien ihailla Pekka ,1,1,0,2270,0,0,13,11,31,4,0,0,4,11,16,18,12,5,2,17,10,5,26,12,4,29,5,454,112,8,118,109
36,ihailen Merjaa ,1,1,0,775,0,0,5,4,3,0,0,0,0,1,3,2,5,0,0,7,1,2,3,3,2,12,2,387,5,3,2,15
37,haluan ihailla Merjaa ,1,1,0,1070,0,0,8,7,9,0,0,0,0,2,6,4,8,2,0,7,3,4,5,6,3,15,3,356,12,5,2,46
38,Pekka ihailee Merjaa Helsingissa ,1,1,0,2875,1,1,14,12,27,5,0,0,5,8,11,18,12,0,2,18,5,3,25,9,6,30,6,718,84,10,95,93
39,Pekka ei ihaile Merjaa Helsingissa ,1,1,0,4025,2,2,17,16,40,5,0,0,5,23,26,29,15,0,5,21,12,3,40,13,6,36,8,805,122,12,142,140
40,Pekka on' ihaillut Merjaa Helsingissa ,1,1,0,3390,1,1,27,14,45,7,0,0,7,20,24,27,14,0,3,19,9,4,39,11,9,33,7,678,165,20,158,140
41,Pekka ei ollut ihaillut Merjaa Helsingissa ,1,1,0,4495,2,2,20,17,48,6,0,0,6,40,43,36,16,0,5,23,19,3,52,16,8,39,9,749,172,14,199,218
42,Pekka haluaa ihailla Merjaa Helsingissa ,1,1,0,4335,2,2,19,18,60,7,0,0,7,11,16,29,17,11,4,21,11,5,35,15,8,38,8,867,129,14,118,171
43,Pekan_gen taytyy ihailla Merjaa Helsingissa ,1,1,0,4170,2,2,18,17,50,1,0,0,1,11,17,23,16,11,4,21,11,6,29,14,8,37,8,834,113,13,71,140
44,Pekka ei halua ihailla Merjaa Helsingissa ,1,1,0,5605,3,3,22,22,83,7,0,0,7,30,35,41,20,15,7,24,20,5,52,20,8,44,10,934,179,16,169,265
45,Pekka sanoo etta haluaa ihailla Merjaa Helsingissa ,1,1,0,5385,2,2,43,21,107,10,0,0,10,33,40,47,20,17,5,22,26,7,65,22,12,42,9,769,322,32,227,296
46,Pekka kaskee poikien ihailla Merjaa Helsingissa ,1,1,0,5980,3,3,23,23,83,9,0,0,9,23,28,43,21,15,8,29,18,5,50,21,9,50,10,996,189,17,159,265
47,Pekka#C/op ihailee Merjaa ,1,1,0,1345,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,448,14,4,5,31
48,Pekka#[foc] ihailee Merjaa ,1,1,0,1355,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,451,14,4,5,31
49,Pekka#[hAn] ihailee Merjaa ,1,1,0,1355,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,451,14,4,5,31
50,Pekka#[kO] ihailee Merjaa ,1,1,0,1345,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,448,14,4,5,31
51,Pekka#[pA] ihailee Merjaa ,1,1,0,1345,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,448,14,4,5,31
52,Pekka#[foc]#[hAn] ihailee Merjaa ,1,1,0,1485,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,495,14,4,5,31
53,Pekka#[foc]#[kO] ihailee Merjaa ,1,1,0,1475,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,491,14,4,5,31
54,Pekka#[foc]#[pA] ihailee Merjaa ,1,1,0,1475,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,491,14,4,5,31
55,Pekka#[kO]#[hAn] ihailee Merjaa ,1,1,0,1465,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,488,14,4,5,31
56,Pekka#[pA]#[hAn] ihailee Merjaa ,1,1,0,1465,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,488,14,4,5,31
57,Pekka#[foc]#[kO]#[hAn] ihailee Merjaa ,1,1,0,1595,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,15,3,2,7,5,3,22,4,531,14,4,5,31
58,Pekka#[foc]#[pA]#[hAn] ihailee Merjaa ,1,1,0,1595,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,15,3,2,7,5,3,22,4,531,14,4,5,31
59,Merjaa#C/op ihailee Pekka ,1,1,0,1400,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,13,1,3,10,4,2,20,4,466,36,5,28,46
60,Merjaa#[foc] ihailee Pekka ,1,1,0,1410,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,13,1,3,10,4,2,20,4,470,36,5,28,46
61,Merjaa#[hAn] ihailee Pekka ,1,1,0,1410,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,13,1,3,10,4,2,20,4,470,36,5,28,46
62,Merjaa#[kO] ihailee Pekka ,1,1,0,1400,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,13,1,3,10,4,2,20,4,466,36,5,28,46
63,Merjaa#[pA] ihailee Pekka ,1,1,0,1400,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,13,1,3,10,4,2,20,4,466,36,5,28,46
64,Merjaa#[foc]#[hAn] ihailee Pekka ,1,1,0,1540,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,14,1,3,10,4,2,21,4,513,36,5,28,31
65,Merjaa#[foc]#[kO] ihailee Pekka ,1,1,0,1530,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,14,1,3,10,4,2,21,4,510,36,5,28,31
66,Merjaa#[foc]#[pA] ihailee Pekka ,1,1,0,1530,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,14,1,3,10,4,2,21,4,510,36,5,28,46
67,Merjaa#[kO]#[hAn] ihailee Pekka ,1,1,0,1520,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,14,1,3,10,4,2,21,4,506,36,5,28,46
68,Merjaa#[pA]#[hAn] ihailee Pekka ,1,1,0,1520,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,14,1,3,10,4,2,21,4,506,36,5,28,31
69,Merjaa#[foc]#[kO]#[hAn] ihailee Pekka ,1,1,0,1650,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,15,1,3,10,4,2,22,4,550,36,5,28,31
70,Merjaa#[foc]#[pA]#[hAn] ihailee Pekka ,1,1,0,1650,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,15,1,3,10,4,2,22,4,550,36,5,28,31
71,Merjaa#C/op Pekka ihailee ,1,1,0,1415,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,13,4,2,13,4,3,20,4,471,26,6,18,31
72,Merjaa#[foc] Pekka ihailee ,1,1,0,1425,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,13,4,2,13,4,3,20,4,475,26,6,18,31
73,Merjaa#[hAn] Pekka ihailee ,1,1,0,1425,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,13,4,2,13,4,3,20,4,475,26,6,18,31
74,Merjaa#[kO] Pekka ihailee ,1,1,0,1415,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,13,4,2,13,4,3,20,4,471,26,6,18,31
75,Merjaa#[pA] Pekka ihailee ,1,1,0,1415,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,13,4,2,13,4,3,20,4,471,26,6,18,31
76,Merjaa#[foc]#[hAn] Pekka ihailee ,1,1,0,1555,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,14,4,2,13,4,3,21,4,518,26,6,18,31
77,Merjaa#[foc]#[kO] Pekka ihailee ,1,1,0,1545,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,14,4,2,13,4,3,21,4,515,26,6,18,31
78,Merjaa#[foc]#[pA] Pekka ihailee ,1,1,0,1545,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,14,4,2,13,4,3,21,4,515,26,6,18,31
79,Merjaa#[kO]#[hAn] Pekka ihailee ,1,1,0,1535,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,14,4,2,13,4,3,21,4,511,26,6,18,31
80,Merjaa#[pA]#[hAn] Pekka ihailee ,1,1,0,1535,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,14,4,2,13,4,3,21,4,511,26,6,18,31
81,Merjaa#[foc]#[kO]#[hAn] Pekka ihailee ,1,1,0,1665,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,15,4,2,13,4,3,22,4,555,26,6,18,31
82,Merjaa#[foc]#[pA]#[hAn] Pekka ihailee ,1,1,0,1665,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,15,4,2,13,4,3,22,4,555,26,6,18,31
83,John sleeps ,1,1,0,625,0,0,4,3,3,0,0,0,0,1,2,2,4,0,0,6,0,1,4,2,1,10,2,312,6,2,0,15
84,John admires Mary ,1,1,0,1105,0,0,7,6,7,0,0,0,0,2,4,4,7,0,0,11,3,2,7,5,2,18,3,368,13,4,0,31
85,John does admire' Mary ,1,1,0,1125,0,0,7,6,6,0,0,0,0,4,6,7,7,0,0,10,7,2,11,6,3,17,3,281,14,3,0,46
86,John gave the key to Mary ,1,1,0,2520,1,1,15,12,26,0,0,0,0,11,14,24,12,0,1,15,23,3,35,15,8,27,4,420,61,7,5,109
87,John wants to_inf admire' Mary ,1,1,0,1595,0,0,10,9,19,0,0,0,0,6,11,11,10,4,0,11,12,5,16,11,4,21,4,319,31,5,0,62
88,John admires ,1,1,1,
89,istuu#C/op Pekka ,1,2,0,950,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,475,10,3,8,15
90,istuu#[foc] Pekka ,1,2,0,970,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,485,10,3,8,15
91,istuu#[hAn] Pekka ,1,2,0,970,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,485,10,3,8,15
92,istuu#[kO] Pekka ,1,2,0,950,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,475,10,3,8,31
93,istuu#[pA] Pekka ,1,2,0,950,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,475,10,3,8,15
94,istuu#[foc]#[hAn] Pekka ,1,2,0,1170,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,11,1,1,4,3,2,16,3,585,10,3,8,31
95,istuu#[foc]#[kO] Pekka ,1,2,0,1150,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,11,1,1,4,3,2,16,3,575,10,3,8,15
96,istuu#[foc]#[pA] Pekka ,1,2,0,1150,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,11,1,1,4,3,2,16,3,575,10,3,8,15
97,istuu#[kO]#[hAn] Pekka ,1,2,0,1140,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,11,1,1,4,3,2,16,3,570,10,3,8,15
98,istuu#[pA]#[hAn] Pekka ,1,2,0,1140,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,11,1,1,4,3,2,16,3,570,10,3,8,15
99,istuu#[foc]#[kO]#[hAn] Pekka ,1,2,0,1340,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,13,1,1,4,3,2,18,3,670,10,3,8,15
100,istuu#[foc]#[pA]#[hAn] Pekka ,1,2,0,1340,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,13,1,1,4,3,2,18,3,670,10,3,8,15
101,ihailee#C/op Pekka Merjaa ,1,2,0,1585,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,15,3,2,9,6,2,23,4,528,24,5,17,46
102,ihailee#[foc] Pekka Merjaa ,1,2,0,1605,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,15,3,2,9,6,2,23,4,535,24,5,17,46
103,myi#[foc] Pekka omaisuutensa ,1,2,0,1405,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,11,3,2,9,6,2,19,4,468,24,5,17,46
104,myi#C/op Pekka omaisuutensa ,1,2,0,1385,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,11,3,2,9,6,2,19,4,461,24,5,17,31
105,antoi#[foc] Pekka avaimen Merjalle ,1,2,0,2020,0,0,15,10,23,5,0,0,5,8,11,16,11,0,2,14,7,3,24,8,6,25,5,505,95,11,101,78
106,antoi#C/op Pekka avaimen Merjalle ,1,2,0,2000,0,0,15,10,23,5,0,0,5,8,11,16,11,0,2,14,7,3,24,8,6,25,5,500,95,11,101,78
107,ei#C/op Pekka ihaile Merjaa ,1,2,0,1690,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,15,8,3,16,8,4,24,5,422,41,5,39,62
108,ei#[foc] Pekka ihaile Merjaa ,1,2,0,1710,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,15,8,3,16,8,4,24,5,427,41,5,39,62
109,ei#[hAn] Pekka ihaile Merjaa ,1,2,0,1710,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,15,8,3,16,8,4,24,5,427,41,5,39,62
110,ei#[kO] Pekka ihaile Merjaa ,1,2,0,1690,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,15,8,3,16,8,4,24,5,422,41,5,39,62
111,ei#[pA] Pekka ihaile Merjaa ,1,2,0,1690,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,15,8,3,16,8,4,24,5,422,41,5,39,140
112,ei#[foc]#[hAn] Pekka ihaile Merjaa ,1,2,0,1910,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,17,8,3,16,8,4,26,5,477,41,5,39,62
113,ei#[foc]#[kO] Pekka ihaile Merjaa ,1,2,0,1890,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,17,8,3,16,8,4,26,5,472,41,5,39,62
114,ei#[foc]#[pA] Pekka ihaile Merjaa ,1,2,0,1890,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,17,8,3,16,8,4,26,5,472,41,5,39,62
115,ei#[kO]#[hAn] Pekka ihaile Merjaa ,1,2,0,1880,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,17,8,3,16,8,4,26,5,470,41,5,39,62
116,ei#[pA]#[hAn] Pekka ihaile Merjaa ,1,2,0,1880,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,17,8,3,16,8,4,26,5,470,41,5,39,62
117,ei#[foc]#[kO]#[hAn] Pekka ihaile Merjaa ,1,2,0,2080,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,19,8,3,16,8,4,28,5,520,41,5,39,46
118,ei#[foc]#[pA]#[hAn] Pekka ihaile Merjaa ,1,2,0,2080,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,19,8,3,16,8,4,28,5,520,41,5,39,62
119,ei#C/op Pekan_gen taydy ihailla Merjaa ,1,2,0,2040,0,0,11,10,22,0,0,0,0,14,20,12,11,4,1,15,14,6,19,12,6,26,6,408,53,6,17,62
120,ei#C/op Pekka halua ihailla Merjaa ,1,2,0,2160,0,0,12,11,28,5,0,0,5,14,19,17,12,4,1,15,14,5,24,13,5,27,6,432,68,7,57,93
121,ei#C/op Pekka ollut ihaillut Merjaa ,1,2,0,2065,0,0,10,9,16,4,0,0,4,18,22,16,10,0,1,17,15,4,24,11,5,27,6,413,58,5,59,93
122,ei#C/op Pekka myynyt omaisuuttaan ,1,2,0,1645,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,12,8,3,16,8,5,21,5,411,41,5,39,46
123,ei#C/op Pekan_gen taydy myyda omaisuuttaan ,1,2,0,1850,0,0,11,10,22,0,0,0,0,14,20,12,11,4,1,10,14,6,19,12,6,21,6,370,53,6,17,62
124,ei#C/op Pekka halua myyda omaisuuttaan ,1,2,0,1970,0,0,12,11,28,5,0,0,5,14,19,17,12,4,1,10,14,5,24,13,5,22,6,394,68,7,57,78
125,ei#C/op Pekka ollut myynyt omaisuuttaan ,1,2,0,1925,0,0,10,9,16,4,0,0,4,18,22,16,10,0,1,13,15,4,24,11,5,23,6,385,58,5,59,78
126,taytyy#C/op Pekan_gen ihailla Merjaa ,1,2,0,1865,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,15,6,5,10,9,3,25,5,466,37,6,11,46
127,taytyy#[foc] Pekan_gen ihailla Merjaa ,1,2,0,1885,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,15,6,5,10,9,3,25,5,471,37,6,11,46
128,taytyy#[hAn] Pekan_gen ihailla Merjaa ,1,2,0,1885,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,15,6,5,10,9,3,25,5,471,37,6,11,46
129,taytyy#[kO] Pekan_gen ihailla Merjaa ,1,2,0,1865,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,15,6,5,10,9,3,25,5,466,37,6,11,62
130,taytyy#[pA] Pekan_gen ihailla Merjaa ,1,2,0,1865,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,15,6,5,10,9,3,25,5,466,37,6,11,62
131,taytyy#[foc]#[hAn] Pekan_gen ihailla Merjaa ,1,2,0,2085,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,17,6,5,10,9,3,27,5,521,37,6,11,46
132,taytyy#[foc]#[kO] Pekan_gen ihailla Merjaa ,1,2,0,2065,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,17,6,5,10,9,3,27,5,516,37,6,11,62
133,taytyy#[foc]#[pA] Pekan_gen ihailla Merjaa ,1,2,0,2065,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,17,6,5,10,9,3,27,5,516,37,6,11,62
134,taytyy#[kO]#[hAn] Pekan_gen ihailla Merjaa ,1,2,0,2055,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,17,6,5,10,9,3,27,5,513,37,6,11,62
135,taytyy#[pA]#[hAn] Pekan_gen ihailla Merjaa ,1,2,0,2055,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,17,6,5,10,9,3,27,5,513,37,6,11,46
136,taytyy#[foc]#[kO]#[hAn] Pekan_gen ihailla Merjaa ,1,2,0,2255,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,19,6,5,10,9,3,29,5,563,37,6,11,46
