ï»¿dummy        {'dummy', 'LANG:EN'}
does-           {'ARG', '-SPEC:V', 'SPEC:FORCE', '!PROBE:V', '-SPEC:T/fin', '-SPEC:v', 'T/fin', 'FIN', 'PHI:NUM:SG', '-SPEC:Neg', '!SPEC:*', 'PHI:PER:3', 'COMP:v', 'LANG:EN', 'VAL', 'PHI:PER:_', '-COMP:INF', 'PHI:GEN:_', '-COMP:T/fin', '!COMP:*', 'COMP:V', '-SPEC:N', '-SPEC:TO/inf', 'LF:does', 'T', 'SPEC:*', 'PHI:GEN:F', '-SPEC:C/fin', 'COMP:Neg', 'SPEC:TO/inf', 'PHI:GEN:M', 'COMP:T/prt', 'PHI:DET:_', 'PHI:NUM:_', '-SPEC:C', 'PF:does', 'SPEC:D'}
dorme           ['LANG:IT']
dorme-          {'PF:dorme', 'ARG', '-COMP:V', 'SPEC:ADV', 'CLASS:INTR', '!SPEC:D', 'LF:sleep', '-SPEC:T/fin', 'COMP:P', '-COMP:MA/inf', '-VAL', '-COMP:N', 'V', 'SPEC:TO/inf', 'ASP', 'PHI:DET:_', 'LANG:EN', 'PHI:PER:_', 'PHI:NUM:_', 'PHI:GEN:_', '-COMP:D', '-SPEC:FORCE', 'SPEC:P', '-COMP:v', 'SPEC:D'}
disappeared     ['LANG:EN']
disappear-      {'ARG', '-COMP:V', 'SPEC:ADV', 'CLASS:INTR', '-SPEC:T/fin', 'LF:disappear', 'COMP:P', '-COMP:MA/inf', '-VAL', '-COMP:N', 'V', 'SPEC:TO/inf', 'ASP', 'PHI:DET:_', 'LANG:EN', 'PHI:PER:_', 'PHI:NUM:_', 'PHI:GEN:_', 'PF:disappear', '-COMP:D', '-SPEC:FORCE', 'SPEC:P', '-COMP:v', 'SPEC:D'}
e               ['LANG:IT']
easy            ['LANG:EN']
easy-           {'PF:easy', 'LF:easy', '0', '2SPEC', 'LANG:EN', 'SPEC:D'}
en              ['LANG:FI']
et              ['LANG:FI']
ei              ['LANG:FI']
emme            ['LANG:FI']
ette            ['LANG:FI']
eivat           ['LANG:FI']
ei'             {'ARG', 'POL:NEG', '-SPEC:T/fin', 'FIN', 'LF:neg', 'SPEC:*', 'NEG', 'LANG:FI', 'SEM:internal', '!SPEC:*', '-SPEC:T', 'PF:ei', '%SPEC:INF', 'COMP:T/prt', 'PHI:DET:_', 'VAL', 'PHI:NUM:_', 'PHI:PER:_', '!COMP:T', '!COMP:*', 'Neg/fin'}
e-              {'ARG', 'POL:NEG', '-SPEC:T/fin', 'FIN', 'LF:neg', 'SPEC:*', 'NEG', 'LANG:FI', 'SEM:internal', '!SPEC:*', '-SPEC:T', 'PF:ei', '%SPEC:INF', 'COMP:T/prt', 'PHI:DET:_', 'VAL', 'PHI:NUM:_', 'PHI:PER:_', '!COMP:T', '!COMP:*', 'Neg/fin'}
elaa            ['LANG:FI']
ela-            {'ARG', '-COMP:V', 'SPEC:ADV', 'CLASS:INTR', '-SPEC:T/fin', 'COMP:P', '-COMP:MA/inf', 'LANG:FI', '-VAL', '-COMP:N', 'V', 'SPEC:TO/inf', 'ASP', 'LF:live', 'PHI:DET:_', 'PHI:PER:_', 'PHI:NUM:_', 'PF:elaa', '-COMP:D', '-SPEC:FORCE', 'SPEC:P', '-COMP:v', 'SPEC:D'}
etsii           ['LANG:FI']
etsi-           {'ARG', '-COMP:V', '-COMP:P', 'COMP:D', 'SPEC:ADV', '-SPEC:T/fin', 'PF:etsi', 'LF:search', 'COMP:P', 'LANG:FI', '-VAL', '-COMP:N', 'V', 'SPEC:TO/inf', 'ASP', 'PHI:DET:_', 'CLASS:TR', 'PHI:NUM:_', 'PHI:PER:_', '!COMP:D', '-SPEC:FORCE', 'SPEC:P', '-COMP:v', '!COMP:*'}
etta            {'LF:that', '-SPEC:*', 'COMP:T/fin', '-ARG', 'COMP:C/fin', '!PROBE:FIN', 'FORCE', 'PF:etta', '-SPEC:D', 'FIN', 'LANG:FI', '-VAL', '!COMP:*'}
fell            ['LANG:EN']
fell-           {'ARG', '-COMP:V', 'SPEC:ADV', 'SPEC:D', 'CLASS:INTR', '-SPEC:T/fin', 'COMP:P', '-COMP:MA/inf', '-VAL', '-COMP:N', 'LF:fell', 'V', 'SPEC:TO/inf', 'ASP', 'PHI:DET:_', 'LANG:EN', 'PHI:PER:_', 'PHI:NUM:_', 'PHI:GEN:_', '-COMP:D', '-SPEC:FORCE', 'SPEC:P', '-COMP:v', 'PF:fell'}
flow'           {'ARG', '-COMP:V', 'SPEC:ADV', '-SPEC:T/fin', 'COMP:P', '-VAL', '-COMP:N', 'V', 'SPEC:TO/inf', 'PF:flow', 'ASP', 'PHI:DET:_', 'LANG:EN', 'PHI:PER:_', 'PHI:NUM:_', 'PHI:GEN:_', 'LF:flow', '-SPEC:FORCE', 'SPEC:P', '-COMP:v', 'SPEC:D'}
from            {'ARG', '-SPEC:V', 'TAIL:V,+SEM:directional', 'COMP:D', '-SPEC:Neg/fin', '-SPEC:T/fin', '-COMP:uWH', '-SPEC:N', '-SPEC:v', '-SPEC:ADV', '-SPEC:P', '-SPEC:C/fin', '-VAL', 'LF:from', '-COMP:N', '-SPEC:*', '-COMP:ADV', '-COMP:A', '-SPEC:iR', '-SPEC:iWH', 'PHI:DET:_', 'LANG:EN', 'PF:from', 'P', 'PHI:NUM:_', '-float', '-COMP:T', '-SPEC:C', 'PHI:PER:_', '-COMP:T/fin', '-SPEC:INF', 'PHI:GEN:_', '-SPEC:FORCE', '!COMP:*', 'adjoinable'}
gave            ['LANG:EN']
give-           {'+SEM:directional', 'ARG', '-COMP:V', 'COMP:D', 'SPEC:ADV', 'SPEC:D', '-SPEC:T/fin', 'COMP:P', 'PF:give', 'CLASS:DITR', '-VAL', '-COMP:N', 'V', 'SPEC:TO/inf', 'LF:give', 'ASP', 'PHI:DET:_', 'LANG:EN', 'PHI:PER:_', 'PHI:NUM:_', 'PHI:GEN:_', '-SPEC:FORCE', 'SPEC:P', '-COMP:v', '!COMP:*', '-COMP:FIN'}
Giuseppe        ['LANG:IT']
Giuseppe-       {'-SPEC:V', '-COMP:V', '-SPEC:T/fin', '-COMP:AUX', '-SPEC:N', '-SPEC:ADV', '-SEM:directional', '-SPEC:uWH', 'COMP:P', 'COMP:D/rel', 'COMP:R', '-SPEC:P', '-COMP:WH', '-SPEC:C/fin', 'N', '-SPEC:INF', '-COMP:N', 'COMP:C', 'SPEC:A', 'COMP:T/prt', 'LANG:IT', '-COMP:A', '-SPEC:R', '-SPEC:FORCE', 'PF:Giuseppe', 'LF:Giuseppe', 'COMP:uR', '-COMP:C/fin', '-COMP:v', 'COMP:R/D', '-COMP:VA/inf'}
haluaa          ['LANG:FI']
halusi          ['LANG:FI']
halusimme       ['LANG:FI']
haluan          ['LANG:FI']
halua           ['LANG:FI']
haluamalla      ['LANG:FI']
haluttiin       ['LANG:FI']
haluttu         ['LANG:FI']
halua-          {'ARG', '-COMP:V', '-COMP:P', 'COMP:D', 'SPEC:ADV', '-SPEC:T/fin', 'COMP:A/inf', 'COMP:P', 'PF:haluaa', 'LANG:FI', 'SEM:internal', '-VAL', '-COMP:N', 'V', '-SPEC:*', 'SPEC:TO/inf', 'ASP', 'PHI:DET:_', 'CLASS:TR', 'ASP:BOUNDED', 'PHI:NUM:_', 'PHI:PER:_', 'LF:want', '-SPEC:FORCE', 'SPEC:P', '-COMP:v', '!COMP:*'}
hairitsee       ['LANG:FI']
hairitse-       {'ARG', '-COMP:V', '-COMP:P', 'COMP:D', 'SPEC:D', 'SPEC:ADV', '-SPEC:T/fin', 'COMP:P', '!COMP:*', 'LANG:FI', '-VAL', '-COMP:N', 'V', 'SPEC:TO/inf', 'ASP', 'PHI:DET:_', 'CLASS:TR', 'PF:hairitsee', 'PHI:NUM:_', 'PHI:PER:_', '!COMP:D', '-SPEC:FORCE', 'SPEC:P', '-COMP:v', 'LF:disturb', '-COMP:FIN'}
hanno           ['LANG:IT']
ho              ['LANG:IT']
ha-             {'ARG', '-COMP:V', 'SPEC:ADV', '-ASP', '-SPEC:T/fin', 'PF:ha', 'COMP:P', 'SPEC:*', 'SEM:internal', '-VAL', 'COMP:T', '-COMP:N', 'V', 'SPEC:TO/inf', 'LF:have', 'LANG:IT', 'PHI:DET:_', 'PHI:PER:_', 'PHI:NUM:_', 'PHI:GEN:_', '-SPEC:FORCE', 'SPEC:P', '-COMP:v', 'SPEC:D'}
horse           {'-SPEC:V', '-COMP:V', '-SPEC:T/fin', '-COMP:AUX', '-SPEC:N', '-SPEC:ADV', '-SPEC:uWH', 'COMP:P', 'COMP:D/rel', 'COMP:R', '-SPEC:P', '-COMP:WH', '-SPEC:C/fin', 'N', '-SPEC:INF', '-COMP:N', 'PF:horse', 'COMP:C', 'SPEC:A', 'COMP:T/prt', '-COMP:A', 'LF:horse', '-SPEC:R', 'LANG:EN', '-COMP:C/fin', 'COMP:uR', '-SPEC:FORCE', '-COMP:v', 'COMP:R/D', '-COMP:VA/inf'}
havisivat       ['LANG:FI']
haviavan        ['LANG:FI']
havisi          ['LANG:FI']
havia-          {'ARG', '-COMP:V', 'SPEC:ADV', 'CLASS:INTR', '-SPEC:T/fin', 'LF:disappear', 'COMP:P', '-COMP:MA/inf', 'LANG:FI', '-VAL', '-COMP:N', 'V', 'SPEC:TO/inf', 'PF:havia', 'ASP', 'PHI:DET:_', 'PHI:PER:_', 'PHI:NUM:_', '-COMP:D', '-SPEC:FORCE', 'SPEC:P', '-COMP:v', 'SPEC:D'}
ihailen         ['LANG:FI']
ihaili          ['LANG:FI']
ihailet         ['LANG:FI']
ihailee         ['LANG:FI']
ihailemme       ['LANG:FI']
ihailette       ['LANG:FI']
ihailevat       ['LANG:FI']
ihailevansa     ['LANG:FI']
ihailemassa     ['LANG:FI']
ihailtua        ['LANG:FI']
ihaile          ['LANG:FI']
ihaillut        ['LANG:FI']
ihailla         ['LANG:FI']
ihailemalla     ['LANG:FI']
ihaile-         {'ARG', '-COMP:V', '-COMP:P', 'COMP:D', 'SPEC:ADV', 'PF:ihaile-', '-SPEC:T/fin', 'COMP:P', 'LANG:FI', '-VAL', '-COMP:N', 'V', 'SPEC:TO/inf', 'LF:admire', 'ASP', 'PHI:DET:_', 'CLASS:TR', 'PHI:NUM:_', 'PHI:PER:_', '!COMP:D', '-SPEC:FORCE', 'SPEC:P', '-COMP:v', '!COMP:*', '-COMP:FIN'}
il              {'-SPEC:V', '-COMP:P', 'PF:il', '-SPEC:Neg/fin', '-SPEC:T/fin', '-SPEC:MA/lla', '-SPEC:P', 'COMP:N', '-COMP:uR', 'D', 'LANG:IT', '-ARG', 'OP', '-SPEC:C', '-COMP:T/fin', '-SPEC:INF', '-COMP:D', '!PROBE:N', '!COMP:*', 'adjoinable', 'LF:the'}
i               {'-SPEC:V', '-COMP:P', 'PF:il', '-SPEC:Neg/fin', '-SPEC:T/fin', '-SPEC:MA/lla', '-SPEC:P', 'COMP:N', '-COMP:uR', 'D', 'LANG:IT', '-ARG', 'OP', '-SPEC:C', '-COMP:T/fin', '-SPEC:INF', '-COMP:D', '!PROBE:N', '!COMP:*', 'adjoinable', 'LF:the'}
in              {'ARG', '-SPEC:V', 'COMP:D', '-SPEC:Neg/fin', '-SPEC:T/fin', '-COMP:uWH', '-SPEC:N', '-SPEC:v', 'LF:in', '-SPEC:ADV', 'PF:in', '-SPEC:P', '-SPEC:C/fin', '-VAL', '-COMP:N', '-COMP:ADV', 'LANG:IT', '-COMP:A', '-SPEC:iR', '-SPEC:iWH', 'PHI:DET:_', 'P', 'PHI:NUM:_', 'PHI:PER:_', 'PHI:GEN:_', '-COMP:T', '-SPEC:C', '-COMP:T/fin', '-SPEC:INF', '-SPEC:FORCE', '!COMP:*', 'adjoinable'}
infermieri      {'-COMP:v', '-SPEC:V', '-COMP:V', '-SPEC:T/fin', '-COMP:AUX', '-SPEC:N', '-SPEC:ADV', '-SPEC:uWH', 'COMP:P', 'COMP:D/rel', 'COMP:R', '-SPEC:P', '-COMP:WH', '-SPEC:C/fin', 'N', '-SPEC:INF', 'LF:nurses', '-COMP:N', 'COMP:C', 'SPEC:A', 'COMP:T/prt', 'LANG:IT', '-COMP:A', '-SPEC:R', '-COMP:C/fin', 'COMP:uR', '-SPEC:FORCE', 'PF:infermieri', 'COMP:R/D', '-COMP:VA/inf'}
is              ['LANG:EN']
be-             {'-COMP:V', 'SPEC:ADV', 'COPULA', '-SPEC:T/fin', 'COMP:P', '-VAL', '-COMP:N', 'V', 'SPEC:TO/inf', 'PF:be', '-COMP:TO/inf', '-ARG', 'ASP', 'LANG:EN', '-SPEC:FORCE', 'LF:be', 'SPEC:P', '-COMP:v', '!COMP:*', 'SPEC:D'}
istuuko         ['LANG:FI']
istuu           ['LANG:FI']
istu-           {'ARG', '-COMP:V', 'SPEC:ADV', 'CLASS:INTR', '-SPEC:T/fin', 'COMP:P', '-COMP:MA/inf', 'LANG:FI', '-VAL', '-COMP:N', 'V', 'SPEC:TO/inf', 'LF:sit', 'PF:istuu', 'ASP', 'PHI:DET:_', 'PHI:PER:_', 'PHI:NUM:_', '-COMP:D', '-SPEC:FORCE', 'SPEC:P', '-COMP:v', 'SPEC:D'}
John            ['LANG:EN']
John-           {'-SPEC:V', '-SPEC:T/fin', 'COMP:R', '-COMP:WH', 'N', 'PF:John', '-adjoinable', '-COMP:A', 'LANG:EN', '-COMP:C/fin', '-COMP:v', 'COMP:R/D', '-COMP:V', '-COMP:AUX', '-SPEC:N', '-SPEC:ADV', '-SEM:directional', '-SPEC:uWH', 'COMP:P', 'COMP:D/rel', '-SPEC:P', '-SPEC:C/fin', '-COMP:N', 'LF:John', 'COMP:C', 'SPEC:A', 'COMP:T/prt', '-SPEC:R', '-SPEC:INF', 'COMP:uR', '-SPEC:FORCE', '-COMP:VA/inf'}
joka            ['LANG:FI']
jota            ['LANG:FI']
joka-           {'-SPEC:V', '-SPEC:T/fin', 'COMP:R', 'LANG:FI', '-COMP:WH', 'N', '-COMP:*', '-COMP:A', '-COMP:C/fin', '-COMP:v', 'COMP:R/D', '-COMP:V', '-COMP:AUX', '-SPEC:N', '-SPEC:ADV', '-SPEC:uWH', 'COMP:P', 'COMP:D/rel', '-SPEC:P', '-SPEC:C/fin', 'PHI_N', 'LF:who', '-COMP:N', 'COMP:C', 'SPEC:A', 'COMP:T/prt', '-SPEC:R', '-SPEC:INF', 'COMP:uR', '-SPEC:FORCE', '-COMP:VA/inf', 'PF:joka'}
Jukka           ['LANG:FI', '-SEM:directional', 'LANG:FI']
Jukkaa          ['LANG:FI', '-SEM:directional']
Jukka-          {'-SPEC:V', '-COMP:V', '-SPEC:T/fin', '-COMP:AUX', '-SPEC:N', '-SPEC:ADV', '-SEM:directional', '-SPEC:uWH', 'COMP:P', 'COMP:D/rel', 'COMP:R', '-SPEC:P', 'LANG:FI', '-COMP:WH', '-SPEC:C/fin', 'N', '-SPEC:INF', '-COMP:N', 'COMP:C', 'SPEC:A', 'COMP:T/prt', '-COMP:A', '-SPEC:R', 'COMP:uR', 'COMP:R/D', '-COMP:C/fin', 'LF:Jukka', '-SPEC:FORCE', '-COMP:v', 'PF:Jukka', '-COMP:VA/inf'}
juosten         ['LANG:FI']
juoksee         ['LANG:FI']
juokse-         {'ARG', '-COMP:V', 'SPEC:ADV', 'PF:juokse-', '-SPEC:T/fin', 'COMP:P', 'LANG:FI', '-VAL', '-COMP:N', 'V', 'SPEC:TO/inf', 'ASP', 'PHI:DET:_', '-SPEC:FORCE', 'PHI:PER:_', 'PHI:NUM:_', 'LF:run', 'SPEC:P', '-COMP:v'}
kaksi           {'ARG', 'NUM', 'TAIL:ARG,VAL,FIN', 'PHI:DET:_', 'PHI:PER:_', 'PHI:NUM:_', 'LF:two', 'COMP:n', 'SPEC:*', 'PHI:NUM:SG', 'PF:kaksi', 'LANG:FI', '-VAL', 'COMP:N'}
