dummy          {'LANG:EN', 'dummy'}
admire**        ['LANG:EN']
T/fin**         {'-SPEC:T/fin', '-SPEC:V', 'PHI:GEN:_', 'NO_NUMBER', '-SPEC:Neg', 'COMP:v', '!PROBE:V', '-SPEC:T/prt', '!COMP:*', '-COMP:INF', 'LANG:EN', 'T/fin', 'SPEC:C/fin', '-VAL', 'FIN', "PF:T/fin''", 'PHI:PER:3', 'COMP:T/prt', '-SPEC:C', '!SPEC:*', 'LF:T', 'NO_DET', 'NO_PERSON', 'COMP:V', '-adjoinable', '-SPEC:N', 'T', 'SPEC:FORCE', '-COMP:T/fin', '-SPEC:v', '-SPEC:TO/inf', 'SPEC:φ', 'ARG', 'SPEC:TO/inf'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'SPEC:ADV', '-COMP:N', '-COMP:v', '-VAL', 'SPEC:P', 'COMP:P', '-SPEC:T/fin', 'LANG:IT', 'PHI:PER:_', 'PHI:GEN:_', 'PF:adora', 'ARG', 'PHI:NUM:_', 'ASP', 'PHI:DET:_', '-COMP:V', 'V', 'LF:admire', '-SPEC:FORCE', 'COMP:φ', 'SPEC:TO/inf'}
antaa           ['LANG:FI']
anta-           {'SPEC:ADV', '-COMP:N', '-COMP:v', 'PF:antaa', '-VAL', 'SPEC:P', 'COMP:P', 'PHI:PER:_', 'PHI:GEN:_', 'CLASS:DITR', 'SPEC:TO/inf', 'PHI:NUM:_', 'ASP', '+SEM:directional', 'PHI:DET:_', '-COMP:V', '-SPEC:FORCE', 'LF:give', 'V', '!COMP:*', '-COMP:FIN', 'LANG:FI', 'ASP:BOUNDED', 'SPEC:φ', 'ARG', 'COMP:φ', '-SPEC:T/fin'}
antoi           ['LANG:FI']
asks            ['LANG:EN']
ask-            {'LF:ask', 'SPEC:ADV', '-COMP:N', '-COMP:v', '-VAL', 'SPEC:P', 'COMP:P', 'PHI:PER:_', 'PHI:GEN:_', 'SPEC:TO/inf', 'PF:ask', 'PHI:NUM:_', 'ASP', 'PHI:DET:_', '-COMP:V', '-SPEC:FORCE', 'V', 'SEM:internal', 'LANG:EN', 'SPEC:φ', 'ARG', 'COMP:φ', '-SPEC:T/fin'}
avain_0acc      ['LANG:EN']
avain_nom       ['LANG:EN']
avain           ['LANG:EN']
avaimen_acc     ['LANG:EN']
avaimen         ['LANG:EN']
avaimen_gen     ['LANG:EN']
avaimet         ['LANG:EN']
avainta         ['LANG:EN']
avain-          {'-COMP:N', '-COMP:v', 'COMP:C', 'COMP:P', '-SPEC:V', 'PF:avain', 'COMP:D/rel', 'COMP:R/D', '-COMP:C/fin', 'COMP:R', '-SEM:directional', 'LANG:FI', '-SPEC:R', '-SPEC:C/fin', 'COMP:uR', 'LF:key', 'N', '-SPEC:FORCE', '-SPEC:uWH', 'COMP:T/prt', '-COMP:WH', 'SPEC:A', '-SPEC:INF', '-COMP:V', '-SPEC:N', '-SPEC:ADV', '-COMP:AUX', '-COMP:D', '-COMP:VA/inf', '-COMP:A', '-SPEC:P', '-SPEC:T/fin'}
auton           ['LANG:FI']
auto            ['LANG:FI']
auto-           {'-COMP:N', '-COMP:v', 'COMP:C', 'COMP:P', '-SPEC:V', 'COMP:D/rel', 'COMP:R/D', '-COMP:C/fin', 'COMP:R', '-SEM:directional', 'LANG:FI', '-SPEC:R', 'LF:car', '-SPEC:C/fin', 'COMP:uR', 'N', '-SPEC:FORCE', '-SPEC:uWH', 'PF:auto', 'COMP:T/prt', '-COMP:WH', 'SPEC:A', '-SPEC:INF', '-COMP:V', '-SPEC:N', '-SPEC:ADV', '-COMP:AUX', '-COMP:D', '-COMP:VA/inf', '-COMP:A', '-SPEC:P', '-SPEC:T/fin'}
bank            {'-COMP:N', '-COMP:v', 'COMP:C', 'COMP:P', '-SPEC:V', 'COMP:D/rel', 'FREQ:1', 'COMP:R/D', '-COMP:C/fin', 'COMP:R', '-SPEC:R', '-SPEC:C/fin', 'LANG:EN', 'COMP:uR', 'N', '-SPEC:FORCE', '-SPEC:uWH', 'COMP:T/prt', '-COMP:WH', 'LF:bank_inst', 'SPEC:A', '-SPEC:INF', '-COMP:V', '-SPEC:N', '-SPEC:ADV', '-COMP:AUX', '-COMP:D', 'PF:bank1', '-COMP:VA/inf', '-COMP:A', '-SPEC:P', '-SPEC:T/fin'}
bank            {'-COMP:N', '-COMP:v', 'COMP:C', 'COMP:P', '-SPEC:V', 'COMP:D/rel', 'COMP:R/D', '-COMP:C/fin', 'COMP:R', '-SPEC:R', '-SPEC:C/fin', 'LANG:EN', 'COMP:uR', 'N', '-SPEC:FORCE', '-SPEC:uWH', 'COMP:T/prt', '-COMP:WH', 'LF:bank_river', 'SPEC:A', '-SPEC:INF', '-COMP:V', '-SPEC:N', '-SPEC:ADV', 'PF:bank2', '-COMP:AUX', 'FREQ:2', '-COMP:D', '-COMP:VA/inf', '-COMP:A', '-SPEC:P', '-SPEC:T/fin'}
barn            {'-COMP:N', '-COMP:v', '-COMP:A', 'COMP:C', 'COMP:P', '-SPEC:V', 'COMP:D/rel', '-SPEC:P', 'COMP:R/D', 'COMP:T/prt', '-COMP:WH', '-COMP:C/fin', 'SPEC:A', '-SPEC:INF', '-COMP:V', '-SPEC:N', 'COMP:R', '-SPEC:ADV', '-COMP:AUX', '-SPEC:R', '-SPEC:C/fin', '-COMP:D', 'LANG:EN', 'COMP:uR', '-COMP:VA/inf', 'LF:barn', 'PF:barn', 'N', '-SPEC:FORCE', '-SPEC:uWH', '-SPEC:T/fin'}
Bill            ['LANG:EN']
Bill-           {'-COMP:N', '-COMP:v', 'COMP:C', 'D:REF:PROPER_NAME', 'COMP:P', '-SPEC:V', 'COMP:D/rel', 'COMP:R/D', '-COMP:C/fin', 'COMP:R', '-SEM:directional', 'PF:Bill', '-SPEC:R', '-SPEC:C/fin', 'LANG:EN', 'LF:Bill', 'COMP:uR', 'N', '-SPEC:FORCE', '-SPEC:uWH', 'COMP:T/prt', '-COMP:WH', '-adjoinable', 'SPEC:A', '-SPEC:INF', '-COMP:V', '-SPEC:N', '-SPEC:ADV', '-COMP:AUX', '-COMP:D', '-COMP:VA/inf', '-COMP:A', '-SPEC:P', '-SPEC:T/fin'}
city            {'-COMP:N', '-COMP:v', 'COMP:C', 'COMP:P', '-SPEC:V', 'COMP:D/rel', 'COMP:R/D', 'COMP:T/prt', '-COMP:WH', '-COMP:C/fin', 'SPEC:A', '-SPEC:INF', '-COMP:V', '-SPEC:N', 'COMP:R', '-SPEC:ADV', '-COMP:AUX', '-SPEC:R', '-SPEC:C/fin', '-COMP:D', 'LANG:EN', 'COMP:uR', 'PF:city', '-COMP:VA/inf', 'LF:city', '-COMP:A', '-SPEC:P', 'N', '-SPEC:FORCE', '-SPEC:uWH', '-SPEC:T/fin'}
che             ['LANG:IT']
che-            {'-COMP:N', '-COMP:v', 'COMP:C', 'COMP:P', '-SPEC:V', 'COMP:D/rel', 'COMP:R/D', 'LF:who', '-COMP:C/fin', 'PF:che', 'COMP:R', 'PHI_N', '-SPEC:R', '-SPEC:C/fin', 'COMP:uR', '-COMP:*', 'N', '-SPEC:FORCE', '-SPEC:uWH', 'LANG:IT', 'COMP:T/prt', '-COMP:WH', 'SPEC:A', '-SPEC:INF', '-COMP:V', '-SPEC:N', '-SPEC:ADV', '-COMP:AUX', '-COMP:D', '-COMP:VA/inf', '-COMP:A', '-SPEC:P', '-SPEC:T/fin'}
chiamato        ['LANG:IT']
chiamata-       {'SPEC:ADV', '-COMP:N', '-COMP:v', '-VAL', 'SPEC:P', 'COMP:P', 'LANG:IT', 'PHI:PER:_', 'PHI:GEN:_', 'PF:chiamato', 'LF:called', 'SPEC:TO/inf', 'PHI:NUM:_', 'ASP', 'PHI:DET:_', '-COMP:V', '-SPEC:FORCE', 'V', 'ARG', '-SPEC:T/fin'}
claims          ['LANG:EN']
claim-          {'SPEC:ADV', '-COMP:N', '-COMP:v', '-VAL', 'SPEC:P', 'COMP:P', 'PHI:PER:_', 'PHI:GEN:_', '-COMP:φ', 'SPEC:TO/inf', 'PHI:NUM:_', 'PF:claim', 'ASP', 'PHI:DET:_', '-COMP:V', '-SPEC:FORCE', 'V', 'COMP:T/fin', 'LANG:EN', 'LF:claim', 'SPEC:φ', 'ARG', '-SPEC:T/fin'}
danno           {'-COMP:N', '-COMP:v', 'COMP:C', 'COMP:P', '-SPEC:V', 'LANG:IT', 'PF:danno', 'COMP:D/rel', 'LF:damage', 'COMP:R/D', 'COMP:T/prt', '-COMP:WH', '-COMP:C/fin', 'SPEC:A', '-SPEC:INF', '-COMP:V', '-SPEC:N', 'COMP:R', '-SPEC:ADV', '-COMP:AUX', '-SPEC:R', '-SPEC:C/fin', '-COMP:D', 'COMP:uR', '-COMP:VA/inf', '-COMP:A', '-SPEC:P', 'N', '-SPEC:FORCE', '-SPEC:uWH', '-SPEC:T/fin'}
del             ['LANG:IT']
della           ['LANG:IT']
detesto         ['LANG:IT']
detesto         ['LANG:IT']
detest-         {'SPEC:ADV', '-COMP:N', '-COMP:v', '-VAL', 'LF:detest', 'SPEC:P', 'COMP:P', 'LANG:IT', 'PHI:PER:_', 'PHI:GEN:_', 'PF:detest', 'SPEC:TO/inf', 'PHI:NUM:_', 'COMP:ARE/inf', 'ASP', 'PHI:DET:_', '-COMP:V', '-SPEC:FORCE', 'V', 'SEM:internal', 'ARG', 'COMP:φ', '-SPEC:T/fin'}
devono          ['LANG:EN']
deva-           {'SPEC:ADV', '-COMP:v', '-COMP:N', '-VAL', 'SPEC:P', 'COMP:P', 'LANG:IT', 'PHI:PER:_', 'PHI:GEN:_', 'SPEC:TO/inf', '-ASP', 'PHI:NUM:_', 'COMP:ARE/inf', 'PHI:DET:_', '-COMP:V', '-SPEC:FORCE', 'V', 'SEM:internal', 'LF:must', 'SPEC:φ', 'ARG', 'PF:deva', '-SPEC:T/fin'}
di              {'-COMP:N', '-SPEC:Neg/fin', '-VAL', '-SPEC:V', '-COMP:uWH', 'LF:of', '-SPEC:P', '-COMP:ADV', 'PHI:PER:_', 'PHI:GEN:_', '-SPEC:C', 'ARG', '-SPEC:iR', 'PHI:NUM:_', '-adjoinable', 'PF:di', '-SPEC:INF', 'PHI:DET:_', '-SPEC:N', '-COMP:T', '-SPEC:T/prt', 'P', '-SPEC:ADV', '!COMP:*', 'LANG:FI', '-COMP:T/fin', '-SPEC:C/fin', '-SPEC:v', 'SPEC:*', '-COMP:A', '-SPEC:iWH', '-SPEC:FORCE', 'COMP:φ', '-SPEC:T/fin'}
does            {'PHI:NUM:SG', '-SPEC:T/fin', '-SPEC:V', 'PHI:GEN:_', '-SPEC:Neg', 'PF:does', 'PHI:NUM:_', 'PHI:GEN:F', 'COMP:v', '!PROBE:V', '-SPEC:T/prt', '!COMP:*', '-COMP:INF', 'LANG:EN', 'SPEC:*', 'T/fin', 'COMP:Neg', 'SPEC:C/fin', 'FIN', 'PHI:PER:_', 'PHI:PER:3', 'COMP:T/prt', 'PHI:GEN:M', '-SPEC:C', '!SPEC:*', 'COMP:V', '-adjoinable', 'PHI:DET:_', '-SPEC:N', 'LF:does', 'VAL', 'T', 'SPEC:FORCE', '-COMP:T/fin', '-SPEC:v', '-SPEC:TO/inf', 'SPEC:φ', 'ARG', 'SPEC:TO/inf'}
does_C          ['LANG:EN']
does-           {'PHI:NUM:SG', '-SPEC:T/fin', '-SPEC:V', 'PHI:GEN:_', '-SPEC:Neg', 'PF:does', 'PHI:NUM:_', 'PHI:GEN:F', 'COMP:v', '!PROBE:V', '-SPEC:T/prt', '!COMP:*', '-COMP:INF', 'LANG:EN', 'SPEC:*', 'T/fin', 'COMP:Neg', 'SPEC:C/fin', 'FIN', 'PHI:PER:_', 'PHI:PER:3', 'COMP:T/prt', 'PHI:GEN:M', '-SPEC:C', '!SPEC:*', 'COMP:V', '-adjoinable', 'PHI:DET:_', '-SPEC:N', 'LF:does', 'VAL', 'T', 'SPEC:FORCE', '-COMP:T/fin', '-SPEC:v', '-SPEC:TO/inf', 'SPEC:φ', 'ARG', 'SPEC:TO/inf'}
dorme           ['LANG:IT']
dorme-          {'SPEC:ADV', '-COMP:N', '-COMP:v', 'LF:sleep', '-VAL', 'SPEC:P', 'COMP:P', 'PHI:PER:_', 'PHI:GEN:_', '-COMP:φ', 'SPEC:TO/inf', 'PHI:NUM:_', 'ASP', 'CLASS:INTR', 'PHI:DET:_', '-COMP:V', '-SPEC:FORCE', 'V', '-COMP:MA/inf', '!SPEC:φ', 'LANG:EN', 'PF:dorme', 'SPEC:φ', 'ARG', '-SPEC:T/fin'}
disappeared     ['LANG:EN']
disappear-      {'SPEC:ADV', '-COMP:N', '-COMP:v', 'PF:disappear', '-VAL', 'SPEC:P', 'COMP:P', 'PHI:PER:_', 'PHI:GEN:_', '-COMP:φ', 'SPEC:TO/inf', 'PHI:NUM:_', 'ASP', 'CLASS:INTR', 'PHI:DET:_', '-COMP:V', '-SPEC:FORCE', 'V', '-COMP:MA/inf', 'LANG:EN', 'LF:disappear', 'SPEC:φ', 'ARG', '-SPEC:T/fin'}
e               ['LANG:IT']
easy            ['LANG:EN']
easy-           {'0', 'LANG:EN', 'PF:easy', 'SPEC:φ', '2SPEC', 'LF:easy'}
en              ['LANG:FI']
et              ['LANG:FI']
ei              ['LANG:FI']
emme            ['LANG:FI']
ette            ['LANG:FI']
eivat           ['LANG:FI']
ei'             {'!COMP:T', 'POL:NEG', 'FIN', 'PHI:PER:_', 'PHI:GEN:_', 'COMP:T/prt', 'NEG', '!SPEC:*', 'PHI:NUM:_', 'LF:neg', 'PHI:DET:_', '-SPEC:T', 'PF:ei', 'VAL', '!COMP:*', 'LANG:FI', 'Neg/fin', 'SEM:internal', '%SPEC:INF', 'SPEC:*', 'ARG', '-SPEC:T/fin'}
e-              {'!COMP:T', 'POL:NEG', 'FIN', 'PHI:PER:_', 'PHI:GEN:_', 'COMP:T/prt', 'NEG', '!SPEC:*', 'PHI:NUM:_', 'LF:neg', 'PHI:DET:_', '-SPEC:T', 'PF:ei', 'VAL', '!COMP:*', 'LANG:FI', 'Neg/fin', 'SEM:internal', '%SPEC:INF', 'SPEC:*', 'ARG', '-SPEC:T/fin'}
elaa            ['LANG:FI']
ela-            {'SPEC:ADV', '-COMP:N', '-COMP:v', '-VAL', 'SPEC:P', 'COMP:P', 'PHI:PER:_', 'PHI:GEN:_', '-COMP:φ', 'LF:live', 'SPEC:TO/inf', 'PHI:NUM:_', 'PF:elaa', 'ASP', 'CLASS:INTR', 'PHI:DET:_', '-COMP:V', '-SPEC:FORCE', 'V', '-COMP:MA/inf', 'LANG:FI', 'SPEC:φ', 'ARG', '-SPEC:T/fin'}
etsii           ['LANG:FI']
etsi-           {'SPEC:ADV', '-COMP:N', '-COMP:v', '-VAL', 'SPEC:P', 'COMP:P', 'PHI:PER:_', 'PHI:GEN:_', 'PF:etsi', 'SPEC:TO/inf', 'PHI:NUM:_', '!COMP:φ', 'ASP', 'LF:search', 'PHI:DET:_', '-COMP:V', '-SPEC:FORCE', 'CLASS:TR', 'V', '!COMP:*', 'LANG:FI', '-COMP:P', 'ARG', 'COMP:φ', '-SPEC:T/fin'}
etta            {'COMP:C/fin', '-VAL', 'FORCE', '!COMP:*', 'LANG:FI', 'LF:that', 'FIN', 'PF:etta', 'COMP:T/fin', '-SPEC:φ', '-SPEC:*', '!PROBE:FIN', '-ARG'}
että            {'COMP:C/fin', 'PF:että', '-VAL', 'FORCE', '!COMP:*', 'LANG:FI', 'LF:that', 'FIN', 'COMP:T/fin', '-SPEC:φ', '-SPEC:*', '!PROBE:FIN', '-ARG'}
fell            ['LANG:EN']
fell-           {'SPEC:ADV', '-COMP:N', '-COMP:v', '-VAL', 'SPEC:P', 'COMP:P', 'PF:fell', 'PHI:PER:_', 'PHI:GEN:_', '-COMP:φ', 'SPEC:TO/inf', 'PHI:NUM:_', 'ASP', 'LF:fell', 'CLASS:INTR', '-COMP:V', '-SPEC:FORCE', 'PHI:DET:_', 'V', '-COMP:MA/inf', '!SPEC:φ', 'LANG:EN', 'SPEC:φ', 'ARG', '-SPEC:T/fin'}
flow'           {'SPEC:ADV', '-COMP:N', '-COMP:v', '-VAL', 'COMP:P', 'SPEC:P', '-SPEC:T/fin', 'PHI:PER:_', 'PHI:GEN:_', 'ARG', 'PHI:NUM:_', 'ASP', 'PHI:DET:_', '-COMP:V', 'LF:flow', 'V', 'PF:flow', 'LANG:EN', 'SPEC:φ', '-SPEC:FORCE', 'SPEC:TO/inf'}
from            {'-COMP:N', '-SPEC:Neg/fin', '-SPEC:V', 'PHI:GEN:_', 'PF:from', 'PHI:NUM:_', '-COMP:T', 'adjoinable', 'P', '-SPEC:T/prt', '!COMP:*', 'LF:from', '-SPEC:C/fin', 'LANG:EN', '-SPEC:iWH', '-SPEC:FORCE', '-VAL', '-COMP:uWH', 'PHI:PER:_', '-COMP:ADV', 'TAIL:V,+SEM:directional', '-SPEC:C', '-SPEC:*', '-SPEC:iR', '-float', 'PHI:DET:_', '-SPEC:INF', '-SPEC:N', '-SPEC:ADV', '-COMP:T/fin', '-SPEC:v', '-COMP:A', '-SPEC:P', 'ARG', 'COMP:φ', '-SPEC:T/fin'}
gave            ['LANG:EN']
give-           {'PF:give', 'SPEC:ADV', '-COMP:N', '-COMP:v', '-VAL', 'SPEC:P', 'COMP:P', 'PHI:PER:_', 'PHI:GEN:_', 'CLASS:DITR', 'SPEC:TO/inf', 'PHI:NUM:_', 'ASP', '+SEM:directional', 'PHI:DET:_', '-COMP:V', '-SPEC:FORCE', 'LF:give', 'V', '!COMP:*', '-COMP:FIN', 'LANG:EN', 'SPEC:φ', 'ARG', 'COMP:φ', '-SPEC:T/fin'}
Giuseppe        ['LANG:IT']
Giuseppe-       {'-COMP:N', '-COMP:v', 'COMP:C', 'D:REF:PROPER_NAME', 'COMP:P', '-SPEC:V', 'COMP:D/rel', 'COMP:R/D', '-COMP:C/fin', 'COMP:R', '-SEM:directional', '-SPEC:R', '-SPEC:C/fin', 'COMP:uR', 'PF:Giuseppe', 'N', '-SPEC:FORCE', '-SPEC:uWH', 'LANG:IT', 'COMP:T/prt', '-COMP:WH', 'LF:Giuseppe', 'SPEC:A', '-SPEC:INF', '-COMP:V', '-SPEC:N', '-SPEC:ADV', '-COMP:AUX', '-COMP:D', '-COMP:VA/inf', '-COMP:A', '-SPEC:P', '-SPEC:T/fin'}
haluaa          ['LANG:FI']
halusi          ['LANG:FI']
halusimme       ['LANG:FI']
haluan          ['LANG:FI']
halua           ['LANG:FI']
haluamalla      ['LANG:FI']
haluttiin       ['LANG:FI']
haluttu         ['LANG:FI']
halua-          {'SPEC:ADV', '-COMP:N', '-COMP:v', '-VAL', 'SPEC:P', 'COMP:P', 'PHI:PER:_', 'PHI:GEN:_', 'COMP:A/inf', '-SPEC:*', 'SPEC:TO/inf', 'PHI:NUM:_', 'ASP', 'PHI:DET:_', '-COMP:V', '-SPEC:FORCE', 'CLASS:TR', 'V', '!COMP:*', 'LF:want', 'PF:haluaa', 'LANG:FI', 'SEM:internal', 'ASP:BOUNDED', '-COMP:P', 'ARG', 'COMP:φ', '-SPEC:T/fin'}
hairitsee       ['LANG:FI']
hairitse-       {'SPEC:ADV', '-COMP:N', '-COMP:v', '-VAL', 'SPEC:P', 'COMP:P', 'PHI:PER:_', 'PHI:GEN:_', 'LF:disturb', 'SPEC:TO/inf', 'PHI:NUM:_', '!COMP:φ', 'ASP', 'PHI:DET:_', '-COMP:V', 'PF:hairitsee', 'CLASS:TR', '-SPEC:FORCE', 'V', '!COMP:*', '-COMP:FIN', 'LANG:FI', 'SPEC:φ', '-COMP:P', 'ARG', 'COMP:φ', '-SPEC:T/fin'}
hanno           ['LANG:IT']
ho              ['LANG:IT']
ha-             {'SPEC:ADV', '-COMP:v', '-COMP:N', 'PF:ha', '-VAL', 'SPEC:P', 'COMP:P', 'LANG:IT', 'PHI:PER:_', 'PHI:GEN:_', 'LF:have', 'SPEC:TO/inf', '-ASP', 'PHI:NUM:_', 'PHI:DET:_', '-COMP:V', '-SPEC:FORCE', 'V', 'COMP:T', 'SEM:internal', 'SPEC:*', 'SPEC:φ', 'ARG', '-SPEC:T/fin'}
horse           {'-COMP:N', '-COMP:v', 'COMP:C', 'COMP:P', '-SPEC:V', 'COMP:D/rel', 'COMP:R/D', 'COMP:T/prt', '-COMP:WH', '-COMP:C/fin', 'SPEC:A', 'PF:horse', '-SPEC:INF', '-COMP:V', '-SPEC:N', 'COMP:R', 'LF:horse', '-SPEC:ADV', '-COMP:AUX', '-SPEC:R', '-SPEC:C/fin', '-COMP:D', 'LANG:EN', 'COMP:uR', '-COMP:VA/inf', '-COMP:A', '-SPEC:P', 'N', '-SPEC:FORCE', '-SPEC:uWH', '-SPEC:T/fin'}
havisivat       ['LANG:FI']
haviavan        ['LANG:FI']
havisi          ['LANG:FI']
havia-          {'SPEC:ADV', '-COMP:N', '-COMP:v', 'PF:havia', '-VAL', 'SPEC:P', 'COMP:P', 'PHI:PER:_', 'PHI:GEN:_', '-COMP:φ', 'SPEC:TO/inf', 'PHI:NUM:_', 'ASP', 'CLASS:INTR', 'PHI:DET:_', '-COMP:V', '-SPEC:FORCE', 'V', '-COMP:MA/inf', 'LANG:FI', 'LF:disappear', 'SPEC:φ', 'ARG', '-SPEC:T/fin'}
Helsingissa     ['LANG:FI']
Helsinki        ['LANG:FI']
Helsinki-       {'-COMP:N', '-COMP:v', 'COMP:C', 'D:REF:PROPER_NAME', 'COMP:P', '-SPEC:V', 'COMP:D/rel', 'COMP:R/D', '-COMP:C/fin', 'PF:Helsinki', 'COMP:R', 'LANG:FI', '-SPEC:R', '-SPEC:C/fin', 'COMP:uR', 'N', '-SPEC:FORCE', '-SPEC:uWH', 'COMP:T/prt', '-COMP:WH', 'SPEC:A', '-SPEC:INF', '-COMP:V', '-SPEC:N', '-SPEC:ADV', '-COMP:AUX', '-COMP:D', '-COMP:VA/inf', '-COMP:A', '-SPEC:P', 'LF:Helsinki', '-SPEC:T/fin'}
ihailen         ['LANG:FI']
ihaili          ['LANG:FI']
ihailet         ['LANG:FI']
ihailee         ['LANG:FI']
ihailemme       ['LANG:FI']
ihailette       ['LANG:FI']
ihailevat       ['LANG:FI']
ihailevan       ['LANG:FI']
ihailevansa     ['LANG:FI']
ihailemassa     ['LANG:FI']
ihailtua        ['LANG:FI']
ihaile          ['LANG:FI']
ihaillut        ['LANG:FI']
ihailla         ['LANG:FI']
ihailemalla     ['LANG:FI']
ihaile-         {'SPEC:ADV', '-COMP:N', '-COMP:v', '-VAL', 'SPEC:P', 'COMP:P', 'PHI:PER:_', 'PHI:GEN:_', 'SPEC:TO/inf', 'PHI:NUM:_', '!COMP:φ', 'ASP', 'PHI:DET:_', '-COMP:V', '-SPEC:FORCE', 'CLASS:TR', 'V', 'PF:ihaile-', '-COMP:FIN', 'LANG:FI', '!COMP:*', 'LF:admire', 'SPEC:φ', '-COMP:P', 'ARG', 'COMP:φ', '-SPEC:T/fin'}
il              {'-SPEC:Neg/fin', 'COMP:n', '-SPEC:V', 'COMP:N', 'LANG:IT', '!PROBE:N', '-SPEC:C', '-EDGE:*', '-COMP:uR', 'φ', '-SPEC:MA/lla', '-SPEC:INF', 'adjoinable', '!COMP:*', '-COMP:T/fin', 'D', 'PF:il', '-SPEC:P', '-COMP:P', 'LF:the', 'COMP:φ', '-SPEC:T/fin', '-ARG'}
i               {'-SPEC:Neg/fin', 'COMP:n', '-SPEC:V', 'COMP:N', 'LANG:IT', '!PROBE:N', '-SPEC:C', '-EDGE:*', '-COMP:uR', 'φ', '-SPEC:MA/lla', '-SPEC:INF', 'adjoinable', '!COMP:*', '-COMP:T/fin', 'D', 'PF:il', '-SPEC:P', '-COMP:P', 'LF:the', 'COMP:φ', '-SPEC:T/fin', '-ARG'}
in              {'-COMP:N', '-SPEC:Neg/fin', '-VAL', 'LF:in', '-SPEC:V', '-COMP:uWH', 'LANG:IT', '-SPEC:P', '-COMP:ADV', 'PHI:PER:_', 'PHI:GEN:_', '-SPEC:C', 'PF:in', 'ARG', '-SPEC:iR', 'PHI:NUM:_', 'PHI:DET:_', '-SPEC:INF', '-SPEC:N', '-COMP:T', 'adjoinable', 'P', '-SPEC:T/prt', '!COMP:*', '-SPEC:ADV', '-COMP:T/fin', '-SPEC:C/fin', '-SPEC:v', '-COMP:A', '-SPEC:iWH', '-SPEC:FORCE', 'COMP:φ', '-SPEC:T/fin'}
