ï»¿dummy        {'LANG:EN', 'dummy'}
istuu-          {'-COMP:N', '-COMP:D', '-COMP:T/fin', 'PF:istuu', 'SPEC:D', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'LANG:FI', '-VAL', 'CLASS:INTR', 'PHI:PER:_', 'ASP', 'LF:sit', 'SPEC:TO/inf', 'PHI:NUM:_', 'ARG', 'V', 'SPEC:ADV', '-COMP:MA/inf', 'PHI:DET:_', '-COMP:v', 'SPEC:P', 'COMP:P'}
John            ['LANG:EN']
John-           {'-SEM:directional', 'COMP:R', '-COMP:N', '-SPEC:C/fin', '-SPEC:uWH', '-SPEC:V', '-COMP:C/fin', '-SPEC:INF', 'LF:John', 'LANG:EN', '-SPEC:T/fin', '-COMP:A', 'COMP:uR', 'COMP:R/D', '-COMP:AUX', '-COMP:V', 'N', 'SPEC:A', '-SPEC:FORCE', '-COMP:v', '-SPEC:ADV', 'COMP:C', '-SPEC:N', '-SPEC:P', '-adjoinable', 'PF:John', '-SPEC:R', '-COMP:WH', 'COMP:P'}
joka            ['LANG:FI']
jota            ['LANG:FI']
joka-           {'COMP:R', '-COMP:N', '-SPEC:C/fin', '-SPEC:uWH', '-SPEC:V', '-COMP:C/fin', '-SPEC:INF', 'LF:who', '-SPEC:T/fin', '-COMP:A', 'COMP:uR', 'COMP:R/D', '-COMP:AUX', '-COMP:V', 'N', 'LANG:FI', '-COMP:*', 'SPEC:A', '-SPEC:FORCE', '-SPEC:ADV', 'COMP:C', '-SPEC:N', 'PHI_N', '-SPEC:P', '-COMP:v', '-SPEC:R', '-COMP:WH', 'PF:joka', 'COMP:P'}
Jukka           ['LANG:FI', '-SEM:directional', 'LANG:FI']
Jukkaa          ['LANG:FI', '-SEM:directional']
Jukka-          {'-SEM:directional', 'COMP:R', '-COMP:N', '-SPEC:C/fin', '-SPEC:uWH', '-SPEC:V', '-COMP:C/fin', '-SPEC:INF', '-SPEC:T/fin', '-COMP:A', 'LF:Jukka', 'COMP:uR', 'COMP:R/D', '-COMP:AUX', 'N', 'LANG:FI', 'SPEC:A', 'PF:Jukka', '-COMP:V', '-SPEC:FORCE', '-SPEC:ADV', 'COMP:C', '-SPEC:N', '-SPEC:P', '-COMP:v', '-SPEC:R', '-COMP:WH', 'COMP:P'}
juosten         ['LANG:FI']
juokse-         {'-COMP:N', '-COMP:T/fin', '-SPEC:T/fin', 'LF:run', 'PF:juokse-', '-COMP:V', '-SPEC:FORCE', 'LANG:FI', '-VAL', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:TO/inf', 'PHI:DET:_', 'ARG', 'V', 'SPEC:ADV', '-COMP:v', 'SPEC:P', 'COMP:P'}
istuu           ['LANG:FI']
istu-           {'-COMP:N', '-COMP:T/fin', 'PF:istuu', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'LANG:FI', '-VAL', 'PHI:PER:_', 'ASP', 'LF:sit', 'SPEC:TO/inf', 'PHI:NUM:_', 'ARG', 'V', 'SPEC:ADV', 'PHI:DET:_', '-COMP:v', 'SPEC:P', 'COMP:P'}
kaksi           {'PHI:NUM:SG', '-VAL', 'COMP:N', 'PHI:PER:_', 'PHI:DET:_', 'PHI:NUM:_', 'ARG', 'LF:two', 'NUM', 'COMP:n', 'SPEC:*', 'PF:kaksi', 'TAIL:ARG,VAL,FIN', 'LANG:FI'}
kaksi           {'TAIL:*POL:NEG', 'COMP:N', 'TAIL:ARG,ASP:BOUNDED', 'LF:two', 'NUM', 'LANG:EN', 'COMP:n', 'PF:kaksi', 'SPEC:*'}
kaksi_1         {'PHI:NUM:SG', '-VAL', 'COMP:N', 'PHI:PER:_', 'PHI:DET:_', 'PHI:NUM:_', 'ARG', 'LF:two', 'NUM', 'COMP:n', 'SPEC:*', 'PF:kaksi', 'TAIL:ARG,VAL,FIN', 'LANG:FI'}
kaksi_2         {'TAIL:*POL:NEG', 'COMP:N', 'TAIL:ARG,ASP:BOUNDED', 'LF:two', 'NUM', 'LANG:EN', 'COMP:n', 'PF:kaksi', 'SPEC:*'}
kahdet          ['LANG:FI']
kahden          ['LANG:FI']
kaksi-          {'LF:two', 'NUM', 'COMP:n', 'COMP:N', 'PF:kaksi', 'SPEC:*', 'LANG:FI'}
kaupunkia       ['LANG:EN']
kaupunki        {'COMP:R', '-COMP:N', '-SPEC:C/fin', '-SPEC:uWH', '-SPEC:V', '-COMP:C/fin', 'LF:city', '-SPEC:INF', '-SPEC:T/fin', 'PF:kaupunki', '-COMP:A', 'COMP:uR', 'COMP:R/D', '-COMP:AUX', '-COMP:V', 'N', 'LANG:FI', 'SPEC:A', '-SPEC:FORCE', '-SPEC:ADV', 'COMP:C', '-SPEC:N', '-SPEC:P', '-COMP:P', '-COMP:v', '-SPEC:R', '-COMP:WH'}
kaski           ['LANG:FI']
kaskee          ['LANG:FI']
kaske-          {'LF:order', '-COMP:N', '-COMP:T/fin', 'PF:kaske', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'LANG:FI', '-VAL', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:TO/inf', 'PHI:DET:_', 'ARG', '!COMP:A/inf', 'V', 'SPEC:ADV', '-COMP:v', 'SPEC:P', 'SEM:external', 'COMP:P'}
kellon          ['LANG:FI']
kellon          ['LANG:FI']
kellon_n        ['LANG:FI']
kellon_N        ['LANG:FI']
kelloja         ['LANG:FI']
kello           ['LANG:FI']
kello-          {'COMP:R', '-COMP:N', '-SPEC:C/fin', '-SPEC:uWH', '-SPEC:V', '-COMP:C/fin', '-SPEC:INF', 'LF:watch', '-SPEC:T/fin', '-COMP:A', 'COMP:uR', 'COMP:R/D', '-COMP:AUX', '-COMP:V', 'N', 'LANG:FI', 'SPEC:A', 'PF:kello', '-SPEC:FORCE', '-SPEC:ADV', 'COMP:C', '-SPEC:N', '-SPEC:P', '-COMP:v', '-SPEC:R', '-COMP:WH', 'COMP:P'}
kello0-         {'SPEC:D', '2SPEC', 'PF:kello', 'LANG:FI', 'LF:watch', '0'}
keta            ['LANG:FI']
kenen           ['LANG:FI']
key             {'COMP:R', '-COMP:N', '-SPEC:C/fin', '-SPEC:uWH', '-SPEC:V', '-COMP:C/fin', '-SPEC:INF', 'LANG:EN', '-SPEC:T/fin', '-COMP:A', 'LF:key', 'COMP:uR', 'COMP:R/D', '-COMP:AUX', 'N', 'SPEC:A', '-COMP:V', '-SPEC:FORCE', '-SPEC:ADV', 'COMP:C', 'PF:key', '-SPEC:N', '-SPEC:P', '-COMP:v', '-SPEC:R', '-COMP:WH', 'COMP:P'}
kirjan          ['LANG:FI']
kirjaa          ['LANG:FI']
kirja-          {'-SEM:directional', 'COMP:R', '-COMP:N', '-SPEC:R', '-SPEC:C/fin', '-SPEC:uWH', '-SPEC:V', '-COMP:C/fin', '-SPEC:INF', '-SPEC:T/fin', '-COMP:A', 'COMP:uR', 'COMP:R/D', '-COMP:AUX', '-COMP:V', 'N', 'LANG:FI', 'SPEC:A', '-SPEC:FORCE', '-SPEC:ADV', 'COMP:C', '-SPEC:N', '-SPEC:P', 'PF:kirja', '-COMP:v', 'LF:book', '-COMP:WH', 'COMP:P'}
