,Number,Sentence,Garden Paths,Mean time per word
981,982,antoi#C/op Pekka avaimen Merjalle ,0,778
1021,1022,myyda#C/op Pekan_gen taytyy omaisuutensa ,0,776
170,171,Pekka naki Merjan_acc lahtemassa ,0,775
1019,1020,myyda#C/op Pekka haluaa omaisuutensa ,0,773
980,981,antoi#foc Pekka avaimen Merjalle ,0,772
991,992,taytyy#C/op Pekan_gen myyda omaisuuttaan ,0,772
993,994,haluaa#C/op Pekka myyda omaisuuttaan ,0,770
995,996,on'#C/op Pekka myynyt omaisuuttaan ,0,770
659,660,Pekka haluaa Merjan_gen lahtevan ,0,765
189,190,Pekka lahtee heidan ihailtua Merjaa ,0,762
233,234,Merja nukkuu ,0,762
620,621,adoriamo Luisa ,0,762
952,953,Merjan_gen kaskee lahtea Pekka ,0,761
1022,1023,ihaile#C/op Merjaa ei Pekka ,0,760
62,63,Pekan_gen taytyy ihailla Merjaa ,0,757
100,101,Pekan_gen taytyy ihailla Merjaa ,0,757
951,952,Merjan_gen kaskee Pekka lahtea ,0,756
956,957,Merjan_gen lahtea kaskee Pekka ,0,756
93,94,Pekka halusi ihailla Merjaa ,0,755
285,286,Pekka halusi ihailla Merjaa ,0,755
263,264,me loydettiin avain_0acc ,0,753
329,330,me loydettiin avain_0acc ,0,753
92,93,Pekka kaskee Merjan_gen lahtea ,0,752
658,659,Pekka kaskee Merjan_gen lahtea ,0,752
942,943,Pekka kaskee Merjan_gen lahtea ,0,752
948,949,Pekka kaskee Merjan_gen lahtea ,0,752
17,18,John admires Mary ,0,750
349,350,John admires Mary ,0,750
621,622,adorate Luisa ,0,750
622,623,adorano Luisa ,0,750
673,674,John admires Mary ,0,750
674,675,Mary admires John ,0,750
78,79,Pekka on' ihaillut Merjaa ,0,748
283,284,Pekka kaski Merjan_gen lahtea ,0,746
1015,1016,ihaile#C/op Pekka ei Merjaa ,0,746
187,188,Pekka lahtee Merjan_gen lahdettya ,0,745
268,269,Pekka halusi tonaista Merjaa ,0,743
957,958,Pekka Merjan_gen lahtea kaskee ,0,741
1025,1026,myynyt#C/op omaisuuttaan ei Pekka ,0,741
351,352,you_pl admire Mary ,0,738
1003,1004,taytyy#C/fin Pekan_gen myyda omaisuuttaan ,0,738
1076,1077,ihailla#C/op Pekka sanoo etta Pekka haluaa Merjaa ,0,738
1004,1005,haluaa#C/fin Pekka myyda omaisuuttaan ,0,736
1005,1006,on'#C/fin Pekka myynyt omaisuuttaan ,0,736
348,349,she admires Mary ,0,733
267,268,Pekka halusi voittaa Merjan ,0,731
105,106,Pekka sanoo Merjan_gen lahtevan ,0,727
109,110,Pekka sanoo Merjan_gen lahtevan ,0,727
284,285,Pekka sanoi Merjan_gen lahtevan ,0,727
174,175,Pekka elaa ihailemalla Merjaa ,0,726
196,197,who admires John ,0,726
19,20,lavano Luisa ,0,725
355,356,lui adora Luisa ,0,725
356,357,lei adora Luisa ,0,725
616,617,adoro Luisa ,0,725
617,618,adori Luisa ,0,725
618,619,adora Luisa ,0,725
619,620,adora Luisa ,0,725
623,624,lavano Luisa ,0,725
982,983,ei#C/op Pekka ihaile Merjaa ,0,722
347,348,he admires Mary ,0,716
257,258,Pekka ei voittanut Merjaa ,0,713
357,358,noi adoriamo Luisa ,0,713
106,107,Pekka halusi heidan lahtevan ,0,712
273,274,me halusimme voittaa Merjan ,0,712
1030,1031,ihailla#C/op Pekan_gen ei taydy Merjaa ,0,712
5,6,Pekka lahtee ,0,707
232,233,Pekka nukkuu ,0,707
269,270,Pekka halusi pesta Merjan ,0,706
352,353,they admire Mary ,0,705
358,359,voi adorate Luisa ,0,705
1033,1034,ihailla#C/op Pekka ei halua Merjaa ,0,705
95,96,Pekka kaskee poikien myyda omaisuuttaan ,0,704
986,987,ei#C/op Pekka myynyt omaisuuttaan ,0,702
107,108,Pekka sanoo lahtevansa ,0,700
1028,1029,taydy#C/op Pekan_gen ei ihailla Merjaa ,0,697
188,189,Pekka lahtee heidan lahdettya ,0,692
1032,1033,halua#C/op Pekka ei ihailla Merjaa ,0,689
334,335,Pekka on' Pekka ,0,688
346,347,you admire Mary ,0,688
997,998,ei#C/fin Pekka ihaile Merjaa ,0,688
359,360,loro adorano Luisa ,0,685
4,5,Pekka istuu ,0,682
175,176,Pekka elaa haluamalla ihailla Merjaa ,0,679
983,984,ei#C/op Pekan_gen taydy ihailla Merjaa ,0,679
668,669,Pekka pyytaa lahtemaan ,0,676
984,985,ei#C/op Pekka halua ihailla Merjaa ,0,673
350,351,we admire Mary ,0,671
353,354,io adoro Luisa ,0,671
354,355,tu adori Luisa ,0,671
625,626,hanno lavato Luisa ,0,671
262,263,me loysimme avaimen ,0,670
328,329,me loysimme avaimen ,0,670
1077,1078,lahtea#C/op Pekka sanoo etta Pekan_gen taytyy ,0,669
20,21,loro lavano Luisa ,0,668
110,111,mina sanon lahtevani ,0,668
1002,1003,ei#C/fin Pekka myynyt omaisuuttaan ,0,668
985,986,ei#C/op Pekka ollut ihaillut Merjaa ,0,666
6,7,John sleeps ,0,665
132,133,Merja nukkui lahella_1 Pekkaa ,0,665
281,282,Merja nukkui lahella_1 Pekkaa ,0,665
693,694,kirjan antoi Pekka Merjalle ,0,665
33,34,Pekka antoi kirjan Merjalle ,0,662
235,236,Pekka antoi kirjan Merjalle ,0,662
685,686,Pekka antoi kirjan Merjalle ,0,662
686,687,Pekka antoi Merjalle kirjan ,0,660
694,695,kirjan antoi Merjalle Pekka ,0,660
63,64,Pekan_gen taytyy myyda omaisuuttaan ,0,657
101,102,Pekan_gen taytyy myyda omaisuuttaan ,0,657
688,689,Pekka kirjan Merjalle antoi ,0,657
692,693,kirjan Pekka Merjalle antoi ,0,657
345,346,I admire Mary ,0,655
640,641,Pekka sanoi etta ihailee Merjaa ,0,653
645,646,Pekka sanoi etta ihailee Merjaa ,0,653
700,701,Merjalle antoi kirjan Pekka ,0,653
226,227,Pekka teki sopimuksen ostaa auton ,0,652
689,690,Pekka Merjalle antoi kirjan ,0,652
699,700,Merjalle antoi Pekka kirjan ,0,652
61,62,Pekan_gen taytyy nukkua ,0,648
223,224,John asks whether Mary admires John ,0,647
626,627,ho lavato Luisa ,0,646
91,92,Pekka haluaa lahtea ,0,645
653,654,Pekka haluaa lahtea ,0,645
940,941,Pekka haluaa lahtea ,0,645
77,78,Pekka on' nukkunut ,0,643
84,85,io detesto lavare Luisa ,0,643
51,52,loro hanno lavato Luisa ,0,640
738,739,Merjaa ei ihaile Pekka ,0,638
737,738,Merjaa ei Pekka ihaile ,0,637
734,735,Pekka ei Merjaa ihaile ,0,633
735,736,Pekka Merjaa ei ihaile ,0,632
736,737,Merjaa Pekka ei ihaile ,0,632
135,136,Pekka sanoo etta haluaa ihailla Merjaa ,0,629
7,8,lui dorme ,0,627
46,47,Pekka ei ihaile Merjaa ,0,627
733,734,Pekka ei ihaile Merjaa ,0,627
52,53,io ho lavato Luisa ,0,623
134,135,Pekka sanoi etta Merja lahtee ,0,622
1031,1032,myyda#C/op Pekan_gen ei taydy omaisuuttaan ,0,622
627,628,hanno voluto lavare Luisa ,0,621
1029,1030,taydy#C/op Pekan_gen ei myyda omaisuuttaan ,0,617
1035,1036,myyda#C/op Pekka ei halua omaisuuttaan ,0,615
624,625,devono lavare Luisa ,0,610
628,629,stanno lavando Luisa ,0,610
1034,1035,halua#C/op Pekka ei myyda omaisuuttaan ,0,609
53,54,loro hanno voluto lavare Luisa ,0,608
336,337,Pekka on' Merjalla ,0,608
989,990,ei#C/op Pekka ollut myynyt omaisuuttaan ,0,608
47,48,Pekka ei myynyt omaisuuttaan ,0,607
72,73,Pekan_gen ei taydy ihailla Merjaa ,0,605
102,103,Pekan_gen ei taydy ihailla Merjaa ,0,605
270,271,Pekka halusi loytaa avaimen ,0,600
96,97,Pekka ei halua ihailla Merjaa ,0,599
987,988,ei#C/op Pekan_gen taydy myyda omaisuuttaan ,0,599
54,55,loro stanno lavando Luisa ,0,598
66,67,loro devono lavare Luisa ,0,598
335,336,Merjalla on' Pekka ,0,593
988,989,ei#C/op Pekka halua myyda omaisuuttaan ,0,593
128,129,se sopimus ihailla Merjaa peruuntui ,0,586
272,273,me ei' haluttu voittaa Merjaa ,0,577
670,671,tassa istuu mukavasti ,0,576
306,307,Pekka nukahti lukemalla kirjaa ,0,572
136,137,Pekka sanoo etta haluaa myyda omaisuuttaan ,0,562
671,672,Pekka sanoo etta tassa istuu mukavasti ,0,558
130,131,Pekkaa lahella_1 ,0,557
279,280,Pekkaa lahella_1 ,0,557
660,661,John persuades Mary to_inf leave ,0,552
666,667,John persuades Mary to_inf leave ,0,552
129,130,lahella_1 Pekkaa ,0,542
278,279,lahella_1 Pekkaa ,0,542
65,66,John must admire' Mary ,0,537
757,758,John does admire' Mary ,0,537
758,759,Mary does admire' John ,0,537
73,74,Pekan_gen ei taydy myyda omaisuuttaan ,0,525
103,104,Pekan_gen ei taydy myyda omaisuuttaan ,0,525
137,138,John said that Mary sleeps ,0,523
230,231,John said that Mary sleeps ,0,523
97,98,Pekka ei halua myyda omaisuuttaan ,0,519
669,670,Pekka sanoo etta istuu mukavasti ,0,519
82,83,John wants Mary to_inf leave ,0,515
649,650,John wants Mary to_inf leave ,0,515
821,822,John wants Mary to_inf leave ,0,515
823,824,Mary wants John to_inf leave ,0,515
83,84,John wants to_inf leave Mary ,0,510
822,823,Mary wants to_inf leave John ,0,510
824,825,John wants to_inf leave Mary ,0,510
16,17,Pekka teki sen kellon_N ,0,501
222,223,who does John say' that Mary admires ,0,499
45,46,he_FI eivat lahde ,0,493
42,43,Pekka ei lahde ,0,468
50,51,John does not admire' Mary ,0,455
655,656,John promises to_inf leave ,0,455
40,41,mina en lahde ,0,451
41,42,sina et lahde ,0,451
312,313,Pekka ei nukkunut koko paivaa ,0,450
81,82,John wants to_inf leave ,0,447
648,649,John wants to_inf leave ,0,447
798,799,John wants to_inf leave ,0,447
43,44,me emme lahde ,0,435
44,45,te ette lahde ,0,435
297,298,ne kahdet sukat havisivat ,0,425
215,216,se' sopimus ostaa auto raukesi ,0,424
152,153,John moved the key from Mary to John ,0,421
213,214,John moved the key from Mary to John ,0,421
89,90,John tries to_inf leave ,0,412
654,655,John tries to_inf leave ,0,412
710,711,the key gave John to Mary ,0,402
34,35,John gave the key to Mary ,0,388
151,152,John gave the key to Mary ,0,388
709,710,John gave the key to Mary ,0,388
48,49,John does sleep ,0,373
64,65,John must sleep ,0,373
79,80,John does sleep ,0,373
298,299,ne kaksi_1 sukkaa havisivat ,0,335
49,50,John does not sleep ,0,311
296,297,ne kaksi_1 sukkaa havisi ,0,276
118,119,the little key ,0,215
158,159,the little key ,0,215
115,116,se' pieni talo ,0,206
161,162,se' pieni talo ,0,206
114,115,se' talo ,0,137
160,161,se' talo ,0,137
