dummy          {'LANG:EN', 'dummy'}
ei'             {'!COMP:*', 'PHI:NUM:_', '!COMP:T', '!SPEC:*', 'PHI:GEN:_', '-SPEC:T/fin', 'VAL', 'ARG', 'LANG:FI', 'POL:NEG', 'SEM:internal', 'PHI:DET:_', 'NEG', 'COMP:T/prt', 'LF:neg', 'FIN', '%SPEC:INF', '-SPEC:T', 'SPEC:*', 'PF:ei', 'PHI:PER:_', 'Neg/fin'}
e-              {'!COMP:*', 'PHI:NUM:_', '!COMP:T', '!SPEC:*', 'PHI:GEN:_', '-SPEC:T/fin', 'VAL', 'ARG', 'LANG:FI', 'POL:NEG', 'SEM:internal', 'PHI:DET:_', 'NEG', 'COMP:T/prt', 'LF:neg', 'FIN', '%SPEC:INF', '-SPEC:T', 'SPEC:*', 'PF:ei', 'PHI:PER:_', 'Neg/fin'}
elaa            ['LANG:FI']
ela-            {'PHI:NUM:_', 'SPEC:φ', 'SPEC:P', '-COMP:V', 'ASP', 'PHI:GEN:_', 'LANG:FI', '-SPEC:FORCE', 'V', 'ARG', 'PF:elaa', '-VAL', '-COMP:φ', 'CLASS:INTR', 'LF:live', '-COMP:v', '-COMP:MA/inf', 'PHI:DET:_', '-COMP:N', 'SPEC:ADV', 'SPEC:TO/inf', 'COMP:P', 'PHI:PER:_', '-SPEC:T/fin'}
etsii           ['LANG:FI']
etsi-           {'!COMP:*', 'PHI:NUM:_', 'SPEC:P', '-COMP:V', 'ASP', 'CLASS:TR', 'PHI:GEN:_', 'LF:search', 'LANG:FI', 'PF:etsi', 'V', '-SPEC:FORCE', 'ARG', '-VAL', '-COMP:v', 'PHI:DET:_', '-COMP:N', '!COMP:φ', 'SPEC:ADV', 'SPEC:TO/inf', '-COMP:P', 'COMP:φ', 'COMP:P', 'PHI:PER:_', '-SPEC:T/fin'}
etta            {'!COMP:*', '-SPEC:*', 'FORCE', 'LF:that', 'PF:etta', 'COMP:T/fin', '!PROBE:FIN', '-ARG', 'COMP:C/fin', '-SPEC:φ', 'LANG:FI', 'FIN', '-VAL'}
fell            ['LANG:EN']
fell-           {'PHI:NUM:_', 'LANG:EN', 'SPEC:φ', 'SPEC:P', '-COMP:V', '!SPEC:φ', 'PF:fell', 'ASP', 'PHI:GEN:_', '-SPEC:FORCE', 'V', 'ARG', '-VAL', '-COMP:φ', 'CLASS:INTR', '-COMP:v', '-COMP:MA/inf', 'PHI:DET:_', '-COMP:N', 'SPEC:ADV', 'SPEC:TO/inf', 'COMP:P', 'LF:fell', 'PHI:PER:_', '-SPEC:T/fin'}
flow'           {'PHI:NUM:_', 'LANG:EN', 'SPEC:φ', 'PF:flow', 'SPEC:P', '-COMP:V', 'ASP', 'LF:flow', 'PHI:GEN:_', '-SPEC:FORCE', 'V', 'ARG', '-VAL', '-COMP:v', 'PHI:DET:_', '-COMP:N', 'SPEC:ADV', 'SPEC:TO/inf', 'COMP:P', 'PHI:PER:_', '-SPEC:T/fin'}
from            {'!COMP:*', 'PHI:NUM:_', 'TAIL:V,+SEM:directional', '-SPEC:T/prt', '-SPEC:V', 'adjoinable', 'PHI:GEN:_', '-SPEC:FORCE', '-SPEC:ADV', '-COMP:T', '-SPEC:C', '-VAL', '-SPEC:Neg/fin', 'PHI:DET:_', 'LF:from', '-COMP:A', '-COMP:T/fin', 'LANG:EN', '-COMP:ADV', '-SPEC:*', '-float', '-SPEC:C/fin', '-SPEC:iR', 'P', 'ARG', '-COMP:uWH', '-SPEC:v', 'PF:from', '-SPEC:INF', '-COMP:N', '-SPEC:P', 'COMP:φ', '-SPEC:iWH', '-SPEC:N', 'PHI:PER:_', '-SPEC:T/fin'}
gave            ['LANG:EN']
give-           {'!COMP:*', 'PHI:NUM:_', 'LANG:EN', 'SPEC:φ', 'SPEC:P', '-COMP:V', 'ASP', 'PHI:GEN:_', '-SPEC:FORCE', 'V', 'ARG', 'PF:give', '-VAL', '-COMP:FIN', '-COMP:v', 'PHI:DET:_', '-COMP:N', '+SEM:directional', 'SPEC:ADV', 'SPEC:TO/inf', 'LF:give', 'COMP:φ', 'COMP:P', 'PHI:PER:_', '-SPEC:T/fin', 'CLASS:DITR'}
Giuseppe        ['LANG:IT']
Giuseppe-       {'COMP:R/D', '-COMP:VA/inf', '-COMP:V', 'COMP:D/rel', '-SPEC:V', '-SPEC:FORCE', '-SPEC:ADV', '-COMP:D', 'LF:Giuseppe', 'COMP:R', '-SPEC:R', 'D:REF:PROPER_NAME', 'COMP:T/prt', 'LANG:IT', '-COMP:C/fin', '-COMP:AUX', '-COMP:A', '-SEM:directional', 'COMP:C', '-SPEC:C/fin', 'PF:Giuseppe', 'N', '-COMP:WH', '-SPEC:uWH', '-COMP:v', '-SPEC:INF', '-COMP:N', 'COMP:uR', '-SPEC:P', 'SPEC:A', 'COMP:P', '-SPEC:N', '-SPEC:T/fin'}
haluaa          ['LANG:FI']
halusi          ['LANG:FI']
halusimme       ['LANG:FI']
haluan          ['LANG:FI']
halua           ['LANG:FI']
haluamalla      ['LANG:FI']
haluttiin       ['LANG:FI']
haluttu         ['LANG:FI']
halua-          {'!COMP:*', 'PHI:NUM:_', '-SPEC:*', 'SPEC:P', '-COMP:V', 'PF:haluaa', 'ASP', 'CLASS:TR', 'PHI:GEN:_', 'LANG:FI', '-SPEC:FORCE', 'V', 'ARG', '-VAL', 'SEM:internal', '-COMP:v', 'PHI:DET:_', '-COMP:N', '-COMP:P', 'SPEC:ADV', 'SPEC:TO/inf', 'COMP:A/inf', 'LF:want', 'COMP:φ', 'ASP:BOUNDED', 'COMP:P', 'PHI:PER:_', '-SPEC:T/fin'}
hairitsee       ['LANG:FI']
hairitse-       {'!COMP:*', 'PHI:NUM:_', 'SPEC:φ', 'SPEC:P', '-COMP:V', 'ASP', 'CLASS:TR', 'PHI:GEN:_', 'LANG:FI', '-SPEC:FORCE', 'V', 'ARG', '-VAL', '-COMP:FIN', '-COMP:v', 'LF:disturb', 'PHI:DET:_', '-COMP:N', '!COMP:φ', 'SPEC:ADV', 'SPEC:TO/inf', '-COMP:P', 'COMP:φ', 'PF:hairitsee', 'COMP:P', 'PHI:PER:_', '-SPEC:T/fin'}
hanno           ['LANG:IT']
ho              ['LANG:IT']
ha-             {'PHI:NUM:_', 'SPEC:φ', 'SPEC:P', '-COMP:V', 'COMP:T', 'PHI:GEN:_', '-SPEC:FORCE', 'V', 'ARG', '-VAL', 'SEM:internal', 'LF:have', '-COMP:v', 'PHI:DET:_', '-COMP:N', 'SPEC:ADV', 'SPEC:TO/inf', 'LANG:IT', 'COMP:P', 'SPEC:*', 'PF:ha', 'PHI:PER:_', '-SPEC:T/fin', '-ASP'}
horse           {'LANG:EN', 'COMP:R/D', '-COMP:VA/inf', '-COMP:V', 'COMP:D/rel', 'COMP:C', '-SPEC:V', '-SPEC:C/fin', 'N', '-SPEC:FORCE', '-SPEC:ADV', '-COMP:D', '-COMP:WH', '-SPEC:uWH', '-COMP:v', 'COMP:R', '-SPEC:R', '-SPEC:INF', '-COMP:N', 'COMP:uR', '-SPEC:P', 'COMP:T/prt', 'PF:horse', '-COMP:C/fin', 'SPEC:A', 'COMP:P', '-COMP:AUX', '-SPEC:N', 'LF:horse', '-SPEC:T/fin', '-COMP:A'}
havisivat       ['LANG:FI']
haviavan        ['LANG:FI']
havisi          ['LANG:FI']
havia-          {'PHI:NUM:_', 'SPEC:φ', 'SPEC:P', '-COMP:V', 'ASP', 'PHI:GEN:_', 'LANG:FI', '-SPEC:FORCE', 'V', 'LF:disappear', 'ARG', '-VAL', '-COMP:φ', 'CLASS:INTR', '-COMP:v', '-COMP:MA/inf', 'PHI:DET:_', '-COMP:N', 'SPEC:ADV', 'SPEC:TO/inf', 'COMP:P', 'PF:havia', 'PHI:PER:_', '-SPEC:T/fin'}
Helsingissa     ['LANG:FI']
Helsinki        ['LANG:FI']
Helsinki-       {'COMP:R/D', '-COMP:VA/inf', '-COMP:V', 'COMP:D/rel', '-SPEC:V', '-SPEC:FORCE', '-SPEC:ADV', '-COMP:D', 'COMP:R', '-SPEC:R', 'PF:Helsinki', 'D:REF:PROPER_NAME', 'COMP:T/prt', '-COMP:C/fin', '-COMP:AUX', '-COMP:A', 'COMP:C', '-SPEC:C/fin', 'LANG:FI', 'N', '-COMP:WH', 'LF:Helsinki', '-SPEC:uWH', '-COMP:v', '-SPEC:INF', '-COMP:N', 'COMP:uR', '-SPEC:P', 'SPEC:A', 'COMP:P', '-SPEC:N', '-SPEC:T/fin'}
ihailen         ['LANG:FI']
ihaili          ['LANG:FI']
ihailet         ['LANG:FI']
ihailee         ['LANG:FI']
ihailemme       ['LANG:FI']
ihailette       ['LANG:FI']
ihailevat       ['LANG:FI']
ihailevansa     ['LANG:FI']
ihailemassa     ['LANG:FI']
ihailtua        ['LANG:FI']
ihaile          ['LANG:FI']
ihaillut        ['LANG:FI']
ihailla         ['LANG:FI']
ihailemalla     ['LANG:FI']
ihaile-         {'!COMP:*', 'PHI:NUM:_', 'SPEC:φ', 'LF:admire', 'SPEC:P', '-COMP:V', 'ASP', 'CLASS:TR', 'PHI:GEN:_', 'LANG:FI', '-SPEC:FORCE', 'V', 'ARG', '-VAL', '-COMP:FIN', 'PF:ihaile-', '-COMP:v', 'PHI:DET:_', '-COMP:N', '!COMP:φ', 'SPEC:ADV', 'SPEC:TO/inf', '-COMP:P', 'COMP:φ', 'COMP:P', 'PHI:PER:_', '-SPEC:T/fin'}
il              {'-EDGE:*', '!COMP:*', '-COMP:T/fin', 'PF:il', '-SPEC:MA/lla', '-SPEC:V', 'adjoinable', '-ARG', '!PROBE:N', '-SPEC:C', '-SPEC:Neg/fin', 'φ', 'D', '-SPEC:INF', 'LF:the', '-COMP:P', '-SPEC:P', 'COMP:φ', 'LANG:IT', '-COMP:uR', 'COMP:N', 'COMP:n', '-SPEC:T/fin'}
i               {'-EDGE:*', '!COMP:*', '-COMP:T/fin', 'PF:il', '-SPEC:MA/lla', '-SPEC:V', 'adjoinable', '-ARG', '!PROBE:N', '-SPEC:C', '-SPEC:Neg/fin', 'φ', 'D', '-SPEC:INF', 'LF:the', '-COMP:P', '-SPEC:P', 'COMP:φ', 'LANG:IT', '-COMP:uR', 'COMP:N', 'COMP:n', '-SPEC:T/fin'}
in              {'-COMP:T/fin', '!COMP:*', 'PHI:NUM:_', '-COMP:ADV', '-SPEC:T/prt', '-SPEC:V', 'adjoinable', '-SPEC:C/fin', '-SPEC:iR', 'PHI:GEN:_', '-SPEC:N', 'P', '-SPEC:FORCE', '-SPEC:ADV', 'ARG', '-COMP:T', '-SPEC:C', '-VAL', '-SPEC:Neg/fin', '-COMP:uWH', '-SPEC:v', '-SPEC:INF', 'PHI:DET:_', '-COMP:N', '-SPEC:P', 'COMP:φ', 'PF:in', 'LANG:IT', '-SPEC:iWH', 'LF:in', 'PHI:PER:_', '-SPEC:T/fin', '-COMP:A'}
infermieri      {'COMP:R/D', '-COMP:VA/inf', '-COMP:V', 'COMP:D/rel', 'COMP:C', '-SPEC:V', '-SPEC:C/fin', 'N', '-SPEC:FORCE', '-SPEC:ADV', '-COMP:D', '-COMP:WH', '-SPEC:uWH', 'LF:nurses', '-COMP:v', 'COMP:R', '-SPEC:R', '-SPEC:INF', '-COMP:N', 'COMP:uR', '-SPEC:P', 'PF:infermieri', 'COMP:T/prt', 'LANG:IT', '-COMP:C/fin', 'SPEC:A', 'COMP:P', '-COMP:AUX', '-SPEC:N', '-SPEC:T/fin', '-COMP:A'}
is              ['LANG:EN']
be-             {'!COMP:*', 'LANG:EN', 'SPEC:φ', 'SPEC:P', '-COMP:V', '-ARG', 'ASP', 'COPULA', '-SPEC:FORCE', 'V', 'PF:be', '-VAL', 'LF:be', '-COMP:v', '-COMP:N', 'SPEC:TO/inf', 'SPEC:ADV', '-COMP:TO/inf', 'COMP:P', '-SPEC:T/fin'}
istuuko         ['LANG:FI']
istuu           ['LANG:FI']
istu-           {'PHI:NUM:_', 'SPEC:φ', 'SPEC:P', '-COMP:V', 'ASP', 'PHI:GEN:_', 'LANG:FI', '-SPEC:FORCE', 'V', 'ARG', '-VAL', '-COMP:φ', 'CLASS:INTR', '-COMP:v', '-COMP:MA/inf', 'PHI:DET:_', '-COMP:N', 'LF:sit', 'SPEC:ADV', 'SPEC:TO/inf', 'PF:istuu', 'COMP:P', 'PHI:PER:_', '-SPEC:T/fin'}
John            ['LANG:EN']
